policy,mean_area_m2,ci95_low,ci95_high,no_signal_probability,near_probability,mean_move_m,outside_arena_fraction,radius_marginalized_loss_p50_m2,radius_marginalized_loss_p95_m2
neural,503.42213378543966,500.66962660550706,506.17464096537225,4.4154350575809076e-07,0.0,944.30419921875,0.03271484375,430.330810546875,1080.3363037109375
repeat,33878.35466983169,33666.6813677449,34090.027971918484,0.0,0.0,0.0,0.0,39270.90625,39270.90625
perpendicular_500,6613.6665781349875,6557.898616054629,6669.434540215346,0.1305764764547348,0.0,500.0,0.1290283203125,1889.82421875,21497.685546875
forward_750,4258.187253125012,4233.763636674579,4282.610869575445,0.0,0.0030269622802734375,750.0,0.044677734375,3999.125,9818.982421875
fixed_750_375,655.2549854405224,652.1069817062198,658.402989174825,0.0,0.0,838.5255737304688,0.0985107421875,393.90582275390625,1872.1241455078125
adaptive_60_28,570.8983719672542,567.9637908538901,573.8329530806183,0.0,0.0,910.0,0.0555419921875,475.51519775390625,1302.763671875
neural_certified,503.6788830466103,500.9213851910477,506.43638090217286,0.0,0.0,937.64306640625,0.0322265625,424.85614013671875,1112.8870849609375
analytic_moments,502.7598996806191,499.98458357169983,505.5352157895384,3.265056705004099e-07,0.0,947.9085083007812,0.0369873046875,432.0641784667969,1062.8272705078125
