scenario,x_m,y_m,worst_mec_radius_m,worst_area_m2,worst_diameter_m,within_5pct,robust_le20
center,267.65224254,-297.25793019,157.2929101501543,6999.648566946598,314.5858203003086,0,0
center,267.65224254,297.25793019,157.2929101502978,6999.6485669465965,314.5858203003086,0,0
center,274.06363729,-122.02099292,276.7633022338784,11740.836881783078,553.5266044677567,0,0
center,274.06363729,122.02099292,276.7633022338784,11740.836881783072,553.5266044677567,0,0
center,293.44428022,-62.37350725,376.6908371605727,15657.529285442575,753.3816743211454,0,0
center,293.44428022,62.37350725,376.69083716062977,15657.529285442582,753.3816743211454,0,0
center,300.0,-519.61524227,103.630892566504,4849.115932139473,207.26178513300778,0,0
center,300.0,0.0,600.182807574989,25135.293496633323,1200.2856028488422,0,0
center,300.0,519.61524227,103.630892566504,4849.1159321394625,207.26178513300778,0,0
center,323.60679775,-235.11410092,174.79373161979595,7486.977147177461,349.58746323959167,0,0
center,323.60679775,235.11410092,174.79373161979595,7486.977147177466,349.58746323959167,0,0
center,334.56530318,-371.57241274,125.80882048758006,5587.765327316016,251.61764097516013,0,0
center,334.56530318,371.57241274,125.80882048758006,5587.765327316025,251.6176409751599,0,0
center,350.0,-606.21778265,89.57224609869373,4252.779717191417,179.14449219738722,0,0
center,350.0,606.21778265,89.57224609869373,4252.779717191403,179.14449219738722,0,0
center,365.41818306,-162.69465723,213.25766450148512,8781.424606037417,426.51532900296996,0,0
center,365.41818306,162.69465723,213.25766450431345,8781.424606037413,426.51532900296996,0,0
center,391.25904029,-83.16467633,303.09472396432835,11977.269669449071,606.1894479286566,0,0
center,391.25904029,83.16467633,303.09472396611733,11977.269669449066,606.1894479286566,0,0
center,400.0,-692.82032303,79.11864588324596,3815.32777459142,158.23729176649192,0,0
center,400.0,0.0,550.1675736104066,21120.628563143277,1100.3115596985285,0,0
center,400.0,692.82032303,79.11864588340845,3815.3277745914165,158.23729176649215,0,0
center,401.47836382,-445.88689529,103.60077263336998,4613.001509942116,207.20154526673977,0,0
center,401.47836382,445.88689529,103.60077263562698,4613.001509942103,207.20154526673977,0,0
center,404.50849719,-293.89262615,137.61585715024086,5810.103793601531,275.2317143004817,0,0
center,404.50849719,293.89262615,137.61585715024086,5810.103793601535,275.2317143004815,0,0
center,450.0,-779.42286341,71.20280029433269,3513.3533556794464,142.40560058866538,0,0
center,450.0,779.42286341,71.20280029433269,3513.3533556794428,142.40560058866538,0,0
center,456.77272882,-203.36832154,167.18926326918984,6672.5628715649345,334.3785265383797,0,0
center,456.77272882,203.36832154,167.18926327214965,6672.562871564936,334.37852653837984,0,0
center,468.39142445,-520.20137783,87.3984290128374,3904.298676020402,174.7968580256748,0,0
center,468.39142445,520.20137783,87.3984290139636,3904.2986760204003,174.7968580256748,0,0
center,485.41019662,-352.67115138,110.85137397373931,4589.942474901698,221.7027479474784,0,0
center,485.41019662,352.67115138,110.85137397373931,4589.942474901698,221.7027479474784,0,0
center,489.07380037,-103.95584541,244.08993738850623,9213.381643530865,488.17987477701234,0,0
center,489.07380037,103.95584541,244.08993738941192,9213.381643530865,488.17987477701234,0,0
center,500.0,0.0,500.17135273979073,17455.064928217587,1000.3427054795815,0,0
center,535.30448509,-594.51586038,75.30543779666918,3390.3029217643325,150.61087559333814,0,0
center,535.30448509,594.51586038,75.30543780199557,3390.302921764327,150.61087559333794,0,0
center,548.12727459,-244.04198585,132.73781515403385,5070.834768509343,265.4756303080677,0,0
center,548.12727459,244.04198585,132.73781515549203,5070.834768509347,265.4756303080677,0,0
center,566.31189606,-411.4496766,91.0320126449291,3702.8963332460116,182.06402528985797,0,0
center,566.31189606,411.4496766,91.03201264714865,3702.8963332460244,182.06402528985774,0,0
center,586.88856044,-124.74701449,196.2568858160698,7036.10432743477,392.5137716321396,0,0
center,586.88856044,124.74701449,196.2568858172332,7036.104327434767,392.5137716321396,0,0
center,600.0,0.0,450.1903842837518,14138.60259185624,900.3807685675038,0,0
center,602.21754572,-668.83034293,66.14224645726662,3016.963088182649,132.28449291453325,0,0
center,602.21754572,668.83034293,66.14224647017151,3016.9630881826633,132.28449291453325,0,0
center,639.48182035,-284.71565015,106.44114760258992,3895.8221719065677,212.88229520517962,0,0
center,639.48182035,284.71565015,106.44114760385183,3895.822171906577,212.88229520517962,0,0
center,647.2135955,-470.22820183,76.08692476865217,3050.9313571388084,152.17384953730433,0,0
center,647.2135955,470.22820183,76.08692477048115,3050.9313571388047,152.1738495373041,0,0
center,684.70332051,-145.53818357,157.1877014622275,5301.108597645674,314.37540292445476,0,0
center,684.70332051,145.53818357,157.1877014622275,5301.108597645682,314.37540292445476,0,0
center,700.0,0.0,400.2141702907984,11171.241554059256,800.4283405815968,0,0
center,728.11529494,-529.00672706,64.69934050428816,2597.8917221909505,129.39868100857612,0,0
center,728.11529494,529.00672706,64.69934050504423,2597.8917221909505,129.39868100857612,0,0
