x_m,y_m,along_m,lateral_m,expected_area_m2,mc_se_m2,no_signal_probability,within_5pct,guaranteed_reception,certificate_margin_m
2290.0,-1000.0,789.9999999999999,-1000.0,719.73846,1.4118825,0.32586512,False,False,-274.40182046323207
2310.0,-1000.0,810.0,-1000.0,749.1459,1.4631132,0.3463776,False,False,-286.89548915209116
2330.0,-1000.0,830.0,-1000.0,779.0791,1.5146255,0.36738837,False,False,-299.57685421063115
2350.0,-1000.0,850.0,-1000.0,809.5043,1.5663158,0.38888443,False,False,-312.4404748406688
2370.0,-1000.0,869.9999999999999,-1000.0,840.3862,1.6181092,0.4108529,False,False,-325.48104475318695
2390.0,-1000.0,890.0000000000001,-1000.0,871.6902,1.6699595,0.43328106,False,False,-338.6933928274989
2410.0,-1000.0,910.0,-1000.0,903.3828,1.7218453,0.45615643,False,False,-352.0724832641185
2430.0,-1000.0,930.0,-1000.0,935.43024,1.7737654,0.4794665,False,False,-365.61341528267076
2450.0,-1000.0,950.0,-1000.0,967.79926,1.8257408,0.5031993,False,False,-379.31142241337216
2470.0,-1000.0,969.9999999999999,-1000.0,1000.4574,1.8778069,0.5273429,False,False,-393.1618714277247
2490.0,-1000.0,990.0,-1000.0,1033.3726,1.9300162,0.55188584,False,False,-407.1602609511114
2510.0,-1000.0,1010.0,-1000.0,1066.5125,1.9824296,0.5768165,False,False,-421.3022197970424
2530.0,-1000.0,1030.0,-1000.0,1099.8463,2.035117,0.6021239,False,False,-435.58350505987636
2550.0,-1000.0,1050.0,-1000.0,1133.3445,2.0881538,0.6277971,False,False,-449.9999999999999
2570.0,-1000.0,1070.0,-1000.0,1166.977,2.1416328,0.6538256,False,False,-464.5477117526763
2590.0,-1000.0,1090.0,-1000.0,1200.7141,2.19566,0.68019915,False,False,-479.2227688891218
2610.0,-1000.0,1110.0,-1000.0,1234.5256,2.250354,0.7069074,False,False,-494.02141885583416
2630.0,-1000.0,1130.0,-1000.0,1268.3717,2.3051133,0.7339332,False,False,-508.94002531578445
2650.0,-1000.0,1150.0,-1000.0,1302.0216,2.3482597,0.7611343,False,False,-523.9750654128171
2670.0,-1000.0,1170.0,-1000.0,1335.0338,2.36114,0.788219,False,False,-539.1231269784754
2690.0,-1000.0,1190.0,-1000.0,1366.9738,2.332469,0.8148794,False,False,-554.3809056984715
2710.0,-1000.0,1210.0,-1000.0,1397.593,2.2632782,0.8409128,False,False,-569.7452022541747
2730.0,-1000.0,1230.0,-1000.0,1426.6431,2.1561723,0.86610043,False,False,-585.2129194527779
2750.0,-1000.0,1250.0,-1000.0,1453.4095,1.9994779,0.88982534,False,False,-600.7810593582122
2770.0,-1000.0,1270.0,-1000.0,1477.8834,1.8050952,0.9119855,False,False,-616.4467204334326
2790.0,-1000.0,1290.0,-1000.0,1499.8438,1.5792984,0.9323019,False,False,-632.2070947033653
2810.0,-1000.0,1310.0,-1000.0,1519.0089,1.325779,0.95039684,False,False,-648.0594649465776
2830.0,-1000.0,1330.0,-1000.0,1535.3107,1.05272,0.9660337,False,False,-664.0012019226431
2850.0,-1000.0,1350.0,-1000.0,1548.8414,0.7716266,0.97912085,False,False,-680.0297616411444
2870.0,-1000.0,1370.0,-1000.0,1559.3743,0.4918655,0.9892339,False,False,-696.1426826773743
2890.0,-1000.0,1390.0,-1000.0,1566.9382,0.23394419,0.99635744,False,False,-712.337583538947
2910.0,-1000.0,1410.0,-1000.0,1570.6155,0.042032104,0.9996996,False,False,-728.6121600868137
2930.0,-1000.0,1430.0,-1000.0,1570.9557,0.0,1.0,False,False,-744.9641830135083
2950.0,-1000.0,1450.0,-1000.0,1570.9557,0.0,1.0,False,False,-761.3914953808537
2970.0,-1000.0,1470.0,-1000.0,1570.9557,0.0,1.0,False,False,-777.8920102188434
2990.0,-1000.0,1490.0,-1000.0,1570.9557,0.0,1.0,False,False,-794.4637081869336
3010.0,-1000.0,1510.0,-1000.0,1570.9557,0.0,1.0,False,False,-811.1046352985794
3030.0,-1000.0,1530.0,-1000.0,1570.9557,0.0,1.0,False,False,-827.8129007094793
3050.0,-1000.0,1550.0000000000002,-1000.0,1570.9557,0.0,1.0,False,False,-844.5866745696719
3070.0,-1000.0,1570.0,-1000.0,1570.9557,0.0,1.0,False,False,-861.4241859393575
3090.0,-1000.0,1590.0,-1000.0,1570.9557,0.0,1.0,False,False,-878.3237207680685
3110.0,-1000.0,1609.9999999999998,-1000.0,1570.9557,0.0,1.0,False,False,-895.2836199366045
3130.0,-1000.0,1630.0,-1000.0,1570.9557,0.0,1.0,False,False,-912.3022773609824
3150.0,-1000.0,1650.0000000000002,-1000.0,1570.9557,0.0,1.0,False,False,-929.3781381574738
3170.0,-1000.0,1670.0,-1000.0,1570.9557,0.0,1.0,False,False,-946.5096968677036
3190.0,-1000.0,1690.0,-1000.0,1570.9557,0.0,1.0,False,False,-963.6954957426572
3210.0,-1000.0,1709.9999999999998,-1000.0,1570.9557,0.0,1.0,False,False,-980.9341230843592
3230.0,-1000.0,1730.0,-1000.0,1570.9557,0.0,1.0,False,False,-998.2242116439286
3250.0,-1000.0,1750.0,-1000.0,1570.9557,0.0,1.0,False,False,-1015.5644370746377
1250.0,-980.0,-250.0,-980.0,475.79086,3.4590764,0.1601136,False,False,-128.35765576081414
1270.0,-980.0,-229.99999999999997,-980.0,451.63492,3.4058275,0.14383551,False,False,-118.74527901307368
1290.0,-980.0,-210.00000000000003,-980.0,428.3048,3.3491483,0.12818363,False,False,-109.41020335764007
1310.0,-980.0,-190.00000000000003,-980.0,405.83575,3.289174,0.11317211,False,False,-100.35948640162151
1330.0,-980.0,-170.0,-980.0,384.3053,3.22359,0.09884277,False,False,-91.60020122480755
1350.0,-980.0,-150.0,-980.0,363.84766,3.147637,0.08527579,False,False,-83.13941822557646
1370.0,-980.0,-130.0,-980.0,344.589,3.0582387,0.072548956,False,False,-74.98418561113729
1390.0,-980.0,-110.0,-980.0,326.6031,2.95561,0.060707554,False,False,-67.14150857046141
1410.0,-980.0,-90.0,-980.0,309.9488,2.8412616,0.04978876,False,False,-59.61832718863447
1430.0,-980.0,-70.0,-980.0,294.7854,2.714131,0.039901055,False,False,-52.42149318323991
1450.0,-980.0,-50.0,-980.0,281.17413,2.577254,0.031087507,False,False,-45.55774556647052
1470.0,-980.0,-30.0,-980.0,269.13403,2.4353776,0.023363084,False,False,-39.03368536060475
1490.0,-980.0,-10.0,-980.0,258.7169,2.2937694,0.016769055,False,False,-32.8557495187991
1510.0,-980.0,10.0,-980.0,249.88434,2.1594968,0.011281537,False,False,-27.030184227338104
1530.0,-980.0,30.0,-980.0,242.67514,2.0400124,0.0069351722,False,False,-21.5630177889371
1550.0,-980.0,50.0,-980.0,237.0193,1.9435167,0.0036838255,False,False,-16.46003330875734
1570.0,-980.0,70.0,-980.0,232.84587,1.876847,0.0014789277,False,False,-11.726741424798071
1590.0,-980.0,90.0,-980.0,230.22092,1.8406967,0.00036528247,False,False,-7.368353341537237
1610.0,-980.0,110.0,-980.0,228.76668,1.8211492,2.9055867e-05,False,False,-3.3897544394401735
1630.0,-980.0,130.0,-980.0,227.88779,1.8061334,0.0,False,True,0.20452125745223926
1650.0,-980.0,150.0,-980.0,227.22136,1.7926611,0.0,False,True,3.4103154687781245
1670.0,-980.0,170.0,-980.0,226.72926,1.7805539,0.0,False,True,5.364388331083325
1690.0,-980.0,190.00000000000003,-980.0,226.41174,1.769818,0.0,False,True,1.7515339355637094
1710.0,-980.0,210.00000000000003,-980.0,226.2714,1.760325,1.4984398e-06,False,False,-2.247474429344809
1730.0,-980.0,229.99999999999997,-980.0,226.36377,1.7489659,4.0184503e-05,False,False,-6.628034578811004
1750.0,-980.0,250.0,-980.0,226.8038,1.7302932,0.00019134925,False,False,-11.385188738692154
1770.0,-980.0,270.0,-980.0,227.74329,1.6989099,0.0005574322,False,False,-16.51364968700736
1790.0,-980.0,290.0,-980.0,229.27399,1.6538855,0.0012034934,False,False,-22.007827758672327
1810.0,-980.0,310.0,-980.0,231.52362,1.5939633,0.0022216667,False,False,-27.86185842261896
1830.0,-980.0,330.0,-980.0,234.74448,1.5160928,0.0037947674,False,False,-34.069630150697364
1850.0,-980.0,350.0,-980.0,238.99725,1.4240098,0.0059746336,False,False,-40.624812312295475
1870.0,-980.0,370.0,-980.0,244.45763,1.3201884,0.008898603,False,False,-47.52088284673361
1890.0,-980.0,390.0,-980.0,251.31174,1.2092173,0.012715952,False,False,-54.75115548644932
1910.0,-980.0,410.0,-980.0,259.66354,1.0992177,0.017520025,False,False,-62.30880632704922
1930.0,-980.0,430.0,-980.0,269.58618,1.0017629,0.023384722,False,False,-70.18689956474434
1950.0,-980.0,450.0,-980.0,281.3082,0.9322264,0.030507943,False,False,-78.37841224683278
1970.0,-980.0,470.00000000000006,-980.0,294.98846,0.9046048,0.039038017,False,False,-86.8762579061152
1990.0,-980.0,490.0,-980.0,310.70166,0.9104759,0.04904425,False,False,-95.67330897489701
2010.0,-980.0,510.00000000000006,-980.0,328.3199,0.9196191,0.060421597,False,False,-104.76241789807462
2030.0,-980.0,530.0,-980.0,347.30676,0.92716724,0.07275963,False,False,-114.13643688733211
2050.0,-980.0,550.0,-980.0,367.32364,0.94083214,0.08580888,False,False,-123.78823627941571
2070.0,-980.0,570.0,-980.0,388.31467,0.96128684,0.09953766,False,False,-133.71072148057246
2090.0,-980.0,590.0,-980.0,410.24933,0.9877274,0.11393295,False,False,-143.89684849640187
2110.0,-980.0,610.0,-980.0,433.09497,1.0193053,0.12898135,False,False,-154.33963806151957
2130.0,-980.0,630.0,-980.0,456.81885,1.0552105,0.14466931,False,False,-165.03218839652666
2150.0,-980.0,650.0,-980.0,481.38818,1.0947045,0.16098309,False,False,-175.96768663088696
2170.0,-980.0,670.0,-980.0,506.76907,1.1371213,0.17790872,False,False,-187.13941893949425
2190.0,-980.0,690.0,-980.0,532.9277,1.1818775,0.19543225,False,False,-198.54077944807545
2210.0,-980.0,710.0,-980.0,559.8295,1.2284747,0.21353954,False,False,-210.16527796826168
2230.0,-980.0,730.0,-980.0,587.4407,1.2764932,0.23221661,False,False,-222.00654662730847
2250.0,-980.0,750.0,-980.0,615.7257,1.325574,0.2514493,False,False,-234.05834546021376
2270.0,-980.0,770.0,-980.0,644.6487,1.3754147,0.27122363,False,False,-246.31456703353993
2290.0,-980.0,789.9999999999999,-980.0,674.1731,1.4257783,0.29152575,False,False,-258.7692401707313
2310.0,-980.0,810.0,-980.0,704.26337,1.4764764,0.31234187,False,False,-271.4165328483031
2330.0,-980.0,830.0,-980.0,734.883,1.5273632,0.33365816,False,False,-284.25075433110027
2350.0,-980.0,850.0,-980.0,765.99677,1.5783354,0.35546124,False,False,-297.2663566130126
2370.0,-980.0,869.9999999999999,-980.0,797.5688,1.6293173,0.37773776,False,False,-310.45793522722425
2390.0,-980.0,890.0000000000001,-980.0,829.56287,1.6802607,0.4004746,False,False,-323.8202294873727
2410.0,-980.0,910.0,-980.0,861.94385,1.7311431,0.42365897,False,False,-337.3481222179961
2430.0,-980.0,930.0,-980.0,894.67755,1.7819629,0.44727802,False,False,-351.0366390294529
2450.0,-980.0,950.0,-980.0,927.72955,1.8327374,0.4713194,False,False,-364.8809471891679
2470.0,-980.0,969.9999999999999,-980.0,961.0662,1.8835061,0.495771,False,False,-378.8763541376724
2490.0,-980.0,990.0,-980.0,994.65454,1.9343171,0.52062094,False,False,-393.0183056945089
2510.0,-980.0,1010.0,-980.0,1028.4614,1.985236,0.5458574,False,False,-407.302383995707
2530.0,-980.0,1030.0,-980.0,1062.4548,2.0363355,0.57146925,False,False,-421.7243052012581
2550.0,-980.0,1050.0,-980.0,1096.605,2.0876899,0.59744525,False,False,-436.2799170078233
2570.0,-980.0,1070.0,-980.0,1130.8807,2.1393893,0.62377465,False,False,-450.96519599885653
2590.0,-980.0,1090.0,-980.0,1165.2522,2.1915388,0.650447,False,False,-465.7762448614046
2610.0,-980.0,1110.0,-980.0,1199.6886,2.2442584,0.6774519,False,False,-480.7092894960847
2630.0,-980.0,1130.0,-980.0,1234.1603,2.2976809,0.7047795,False,False,-495.7606760441324
2650.0,-980.0,1150.0,-980.0,1268.6187,2.3506873,0.7324072,False,False,-510.9268678529746
2670.0,-980.0,1170.0,-980.0,1302.7893,2.3893878,0.76016337,False,False,-526.2044423995104
2690.0,-980.0,1190.0,-980.0,1336.2297,2.3961277,0.7877532,False,False,-541.5900881881669
2710.0,-980.0,1210.0,-980.0,1368.5001,2.3600655,0.8148614,False,False,-557.0806016388491
2730.0,-980.0,1230.0,-980.0,1399.3794,2.2838166,0.8413001,False,False,-572.6728839781018
2750.0,-980.0,1250.0,-980.0,1428.567,2.1683564,0.8668076,False,False,-588.3639381451596
2770.0,-980.0,1270.0,-980.0,1455.3484,2.0024042,0.8907516,False,False,-604.1508657230469
2790.0,-980.0,1290.0,-980.0,1479.8369,1.8015205,0.9131248,False,False,-620.0308639035244
2810.0,-980.0,1310.0,-980.0,1501.6781,1.5682344,0.93352747,False,False,-636.0012224934309
2830.0,-980.0,1330.0,-980.0,1520.6732,1.3082632,0.95163643,False,False,-652.0593209688327
2850.0,-980.0,1350.0,-980.0,1536.7855,1.0301863,0.9672329,False,False,-668.202625582396
2870.0,-980.0,1370.0,-980.0,1550.0955,0.74543816,0.9802052,False,False,-684.4286865284621
2890.0,-980.0,1390.0,-980.0,1560.3623,0.46358448,0.9901103,False,False,-700.7351351694948
2910.0,-980.0,1410.0,-980.0,1567.6034,0.20799203,0.9969535,False,False,-717.1196813268434
2930.0,-980.0,1430.0,-980.0,1570.7754,0.027394256,0.99983895,False,False,-733.5801106380982
2950.0,-980.0,1450.0,-980.0,1570.9557,0.0,1.0,False,False,-750.114281982751
2970.0,-980.0,1470.0,-980.0,1570.9557,0.0,1.0,False,False,-766.7201249773549
2990.0,-980.0,1490.0,-980.0,1570.9557,0.0,1.0,False,False,-783.3956375409242
3010.0,-980.0,1510.0,-980.0,1570.9557,0.0,1.0,False,False,-800.1388835309347
3030.0,-980.0,1530.0,-980.0,1570.9557,0.0,1.0,False,False,-816.9479904499194
3050.0,-980.0,1550.0000000000002,-980.0,1570.9557,0.0,1.0,False,False,-833.8211472223785
3070.0,-980.0,1570.0,-980.0,1570.9557,0.0,1.0,False,False,-850.7566020414463
3090.0,-980.0,1590.0,-980.0,1570.9557,0.0,1.0,False,False,-867.7526602845466
3110.0,-980.0,1609.9999999999998,-980.0,1570.9557,0.0,1.0,False,False,-884.8076824970765
3130.0,-980.0,1630.0,-980.0,1570.9557,0.0,1.0,False,False,-901.9200824430034
3150.0,-980.0,1650.0000000000002,-980.0,1570.9557,0.0,1.0,False,False,-919.0883252211192
3170.0,-980.0,1670.0,-980.0,1570.9557,0.0,1.0,False,False,-936.3109254456011
3190.0,-980.0,1690.0,-980.0,1570.9557,0.0,1.0,False,False,-953.5864454894235
3210.0,-980.0,1709.9999999999998,-980.0,1570.9557,0.0,1.0,False,False,-970.9134937891109
3230.0,-980.0,1730.0,-980.0,1570.9557,0.0,1.0,False,False,-988.2907232092597
3250.0,-980.0,1750.0,-980.0,1570.9557,0.0,1.0,False,False,-1005.7168294652164
1250.0,-960.0,-250.0,-960.0,425.94238,3.5511954,0.12390544,False,False,-110.93723429134444
1270.0,-960.0,-229.99999999999997,-960.0,401.44452,3.4805112,0.107536726,False,False,-101.1728013962666
1290.0,-960.0,-210.00000000000003,-960.0,378.14417,3.3906,0.09203761,False,False,-91.68747292203628
1310.0,-960.0,-190.00000000000003,-960.0,356.15326,3.2812932,0.07747792,False,False,-82.48858586818436
1330.0,-960.0,-170.0,-960.0,335.56332,3.154192,0.06391668,False,False,-73.58350328928842
1350.0,-960.0,-150.0,-960.0,316.63007,3.0065613,0.051530313,False,False,-64.9795953608227
1370.0,-960.0,-130.0,-960.0,299.43988,2.8424256,0.040381014,False,False,-56.68421892962028
1390.0,-960.0,-110.0,-960.0,284.03284,2.6677608,0.030500822,False,False,-48.70469558160251
1410.0,-960.0,-90.0,-960.0,270.5299,2.4885874,0.021983024,False,False,-41.048288282009295
1430.0,-960.0,-70.0,-960.0,258.93005,2.3144011,0.01483402,False,False,-33.72217666784222
1450.0,-960.0,-50.0,-960.0,249.2815,2.1555514,0.009097651,False,False,-26.73343109830689
1470.0,-960.0,-30.0,-960.0,241.55974,2.0247462,0.0047663404,False,False,-20.088985596306507
1490.0,-960.0,-10.0,-960.0,235.66644,1.9329041,0.0017722326,False,False,-13.795609841994516
1510.0,-960.0,10.0,-960.0,231.87614,1.8872838,0.00032357613,False,False,-7.859880407441178
1530.0,-960.0,30.0,-960.0,229.71317,1.8631771,4.6853092e-06,False,False,-2.2881514489243027
1550.0,-960.0,50.0,-960.0,228.13997,1.8425442,0.0,False,True,2.9134749005472194
1570.0,-960.0,70.0,-960.0,226.74896,1.8232818,0.0,False,True,7.739178171937644
1590.0,-960.0,90.0,-960.0,225.53394,1.8053596,0.0,False,True,12.18344894666712
1610.0,-960.0,110.0,-960.0,224.4957,1.7887965,0.0,False,True,16.241117684367868
1630.0,-960.0,130.0,-960.0,223.63495,1.773608,0.0,False,True,19.90738267503428
1650.0,-960.0,150.0,-960.0,222.952,1.7597994,0.0,False,True,23.177836791720974
1670.0,-960.0,170.0,-960.0,222.4472,1.7473785,0.0,False,True,25.06410467149167
1690.0,-960.0,190.00000000000003,-960.0,222.12122,1.7363645,0.0,False,True,21.37852057090012
1710.0,-960.0,210.00000000000003,-960.0,221.97423,1.7267624,0.0,False,True,17.299638750447986
1730.0,-960.0,229.99999999999997,-960.0,222.00616,1.7185717,0.0,False,True,12.832334403116597
1750.0,-960.0,250.0,-960.0,222.21704,1.7117963,0.0,False,True,7.981855004657701
1770.0,-960.0,270.0,-960.0,222.60684,1.7064399,0.0,False,True,2.753791684320217
1790.0,-960.0,290.0,-960.0,223.1778,1.7024031,1.2409582e-06,False,False,-2.845950283492049
1810.0,-960.0,310.0,-960.0,224.00128,1.6956365,4.9631955e-05,False,False,-8.811181539935154
1830.0,-960.0,330.0,-960.0,225.23454,1.6786743,0.0002482939,False,False,-15.135458941317847
1850.0,-960.0,350.0,-960.0,227.07492,1.6448208,0.0007305768,False,False,-21.812115802117503
1870.0,-960.0,370.0,-960.0,229.64478,1.5932225,0.0015840465,False,False,-28.83429180796654
