x_m,y_m,along_m,lateral_m,expected_area_m2,mc_se_m2,no_signal_probability,within_5pct,guaranteed_reception,certificate_margin_m
810.0,-1000.0,810.0,-1000.0,3104.26,75.99956,0.051145498,False,False,-286.89548915209116
830.0,-1000.0,830.0,-1000.0,3234.6875,81.48732,0.05465752,False,False,-299.57685421063115
850.0,-1000.0,850.0,-1000.0,3386.439,87.12442,0.05870661,False,False,-312.4404748406688
869.9999999999999,-1000.0,869.9999999999999,-1000.0,3558.4692,92.895355,0.063265584,False,False,-325.48104475318695
890.0000000000001,-1000.0,890.0000000000001,-1000.0,3748.8347,98.80334,0.06828362,False,False,-338.6933928274989
910.0,-1000.0,910.0,-1000.0,3956.8604,104.84252,0.07374324,False,False,-352.0724832641185
930.0,-1000.0,930.0,-1000.0,4182.499,111.00345,0.079643555,False,False,-365.61341528267076
950.0,-1000.0,950.0,-1000.0,4425.07,117.28767,0.0859672,False,False,-379.31142241337216
969.9999999999999,-1000.0,969.9999999999999,-1000.0,4684.4395,123.6913,0.092711106,False,False,-393.1618714277247
990.0,-1000.0,990.0,-1000.0,4960.953,130.20432,0.09988487,False,False,-407.1602609511114
1010.0,-1000.0,1010.0,-1000.0,5254.8945,136.81816,0.107496485,False,False,-421.3022197970424
1030.0,-1000.0,1030.0,-1000.0,5566.246,143.52905,0.11554612,False,False,-435.58350505987636
1050.0,-1000.0,1050.0,-1000.0,5894.9395,150.33401,0.12403269,False,False,-449.9999999999999
1070.0,-1000.0,1070.0,-1000.0,6241.0947,157.22699,0.13296005,False,False,-464.5477117526763
1090.0,-1000.0,1090.0,-1000.0,6605.4277,164.19243,0.14234778,False,False,-479.2227688891218
1110.0,-1000.0,1110.0,-1000.0,6987.2905,171.23596,0.15217969,False,False,-494.02141885583416
1130.0,-1000.0,1130.0,-1000.0,7386.121,178.35722,0.16244185,False,False,-508.94002531578445
1150.0,-1000.0,1150.0,-1000.0,7801.452,185.444,0.17312382,False,False,-523.9750654128171
1170.0,-1000.0,1170.0,-1000.0,8233.856,192.56175,0.184241,False,False,-539.1231269784754
1190.0,-1000.0,1190.0,-1000.0,8681.043,199.63371,0.19573508,False,False,-554.3809056984715
1210.0,-1000.0,1210.0,-1000.0,9139.998,206.47382,0.20752962,False,False,-569.7452022541747
1230.0,-1000.0,1230.0,-1000.0,9612.182,213.22202,0.21966295,False,False,-585.2129194527779
1250.0,-1000.0,1250.0,-1000.0,10096.245,219.86623,0.23210087,False,False,-600.7810593582122
1270.0,-1000.0,1270.0,-1000.0,10592.788,226.43752,0.2448599,False,False,-616.4467204334326
1290.0,-1000.0,1290.0,-1000.0,11099.654,232.83665,0.2578854,False,False,-632.2070947033653
1310.0,-1000.0,1310.0,-1000.0,11613.769,238.90735,0.2710989,False,False,-648.0594649465776
1330.0,-1000.0,1330.0,-1000.0,12136.604,244.79073,0.2845392,False,False,-664.0012019226431
1350.0,-1000.0,1350.0,-1000.0,12663.466,250.29105,0.29808575,False,False,-680.0297616411444
1370.0,-1000.0,1370.0,-1000.0,13198.054,255.5958,0.31183526,False,False,-696.1426826773743
1390.0,-1000.0,1390.0,-1000.0,13742.756,260.79477,0.32585108,False,False,-712.337583538947
1410.0,-1000.0,1410.0,-1000.0,14292.238,265.5711,0.33999616,False,False,-728.6121600868137
1430.0,-1000.0,1430.0,-1000.0,14844.738,269.9542,0.35422516,False,False,-744.9641830135083
1450.0,-1000.0,1450.0,-1000.0,15405.742,274.1153,0.3686823,False,False,-761.3914953808537
1470.0,-1000.0,1470.0,-1000.0,15972.469,278.15805,0.38329485,False,False,-777.8920102188434
1490.0,-1000.0,1490.0,-1000.0,16539.24,281.87192,0.3979156,False,False,-794.4637081869336
1510.0,-1000.0,1510.0,-1000.0,17108.191,285.36115,0.4126011,False,False,-811.1046352985794
1530.0,-1000.0,1530.0,-1000.0,17682.121,288.65747,0.42742598,False,False,-827.8129007094793
