x_m,y_m,worst_diameter_m,worst_area_m2,within_5m_of_best
352.67115138,-485.41019662,205.848005158546,4719.558546727512,0
352.67115138,485.41019662,205.848005158546,4719.55854672752,0
401.47836382,-445.88689529,207.20154526673977,4613.001509942109,0
401.47836382,445.88689529,207.20154526673977,4613.001509942114,0
411.4496766,-566.31189606,175.85692410648005,4063.431237687657,0
411.4496766,566.31189606,175.85692410648005,4063.431237687648,0
445.88689529,-401.47836382,212.07226145439606,4564.2084991514475,0
445.88689529,401.47836382,212.07226145439606,4564.208499151455,0
468.39142445,-520.20137783,174.79685802567482,3904.298676020404,0
468.39142445,520.20137783,174.79685802567482,3904.298676020404,0
470.22820183,-647.2135955,153.5258403314292,3594.63679324435,0
470.22820183,647.2135955,153.5258403314292,3594.6367932443536,0
485.41019662,-352.67115138,221.7027479474784,4589.942474901694,0
485.41019662,352.67115138,221.7027479474784,4589.942474901698,0
519.61524227,-300.0,238.21899065861894,4733.941018874688,0
519.61524227,300.0,238.21899065861874,4733.941018874702,0
520.20137783,-468.39142445,176.53853369389697,3779.885114326713,0
520.20137783,468.39142445,176.53853369389697,3779.885114326713,0
529.00672706,-728.11529494,136.6156240129052,3251.2003126191994,0
529.00672706,728.11529494,136.6156240129052,3251.200312619214,0
535.30448509,-594.51586038,150.61087559333814,3390.302921764336,0
535.30448509,594.51586038,150.61087559333794,3390.3029217643343,0
548.12727459,-244.04198585,265.4756303080677,5070.83476850935,0
548.12727459,244.04198585,265.47563030806793,5070.834768509343,0
566.31189606,-411.4496766,182.06402528985797,3702.896333246017,0
566.31189606,411.4496766,182.06402528985774,3702.896333246019,0
570.63390978,-185.41019662,311.1150822772261,5763.203914105272,0
570.63390978,185.41019662,311.1150822772261,5763.2039141052865,0
586.88856044,-124.74701449,392.5137716321396,7036.104327434776,0
586.88856044,124.74701449,392.5137716321396,7036.104327434772,0
587.78525229,-809.01699437,123.66582501533556,3006.015655062598,0
587.78525229,809.01699437,123.66582501533576,3006.0156550626125,0
594.51586038,-535.30448509,149.91206654877035,3202.9498944754087,0
594.51586038,535.30448509,149.91206654877035,3202.9498944754014,0
596.71313722,-62.71707796,559.1285934258913,9665.373492111503,0
596.71313722,62.71707796,559.1285934258913,9665.373492111506,0
602.21754572,-668.83034293,132.28449291453325,3016.9630881826506,0
602.21754572,668.83034293,132.28449291453325,3016.9630881826633,0
606.21778265,-350.0,193.10215892989916,3690.05472091915,0
606.21778265,350.0,193.10215892989893,3690.0547209191573,0
639.48182035,-284.71565015,212.88229520517962,3895.8221719065696,0
639.48182035,284.71565015,212.88229520517962,3895.8221719065714,0
647.2135955,-470.22820183,152.17384953730433,3050.931357138801,0
647.2135955,470.22820183,152.17384953730433,3050.9313571388084,0
665.73956141,-216.31189606,248.03589117414896,4363.685975163802,0
665.73956141,216.31189606,248.03589117414896,4363.685975163811,0
668.83034293,-602.21754572,129.70049642357858,2794.337348496427,0
668.83034293,602.21754572,129.70049642357858,2794.3373484964322,0
669.13060636,-743.14482548,118.26580928510788,2740.305984463219,0
669.13060636,743.14482548,118.26580928510788,2740.305984463219,0
684.70332051,-145.53818357,314.375402924455,5301.108597645671,0
684.70332051,145.53818357,314.375402924455,5301.108597645674,0
692.82032303,-400.0,158.74736957361628,2988.934222610773,0
692.82032303,400.0,158.74736957361606,2988.9342226107656,0
696.16532676,-73.16992429,460.5788126546214,7364.792869291916,0
696.16532676,73.16992429,460.5788126546214,7364.792869291923,0
728.11529494,-529.00672706,129.39868100857612,2597.891722190947,0
728.11529494,529.00672706,129.39868100857612,2597.8917221909505,0
730.83636611,-325.38931446,172.23463826784422,3023.7610667703066,0
730.83636611,325.38931446,172.23463826784376,3023.761066770294,0
743.14482548,-669.13060636,114.2484553493869,2500.3444518858996,1
743.14482548,669.13060636,114.2484553493869,2500.3444518859033,1
760.84521304,-247.2135955,198.1636960317929,3296.450989694971,0
760.84521304,247.2135955,198.16369603179268,3296.450989694982,0
779.42286341,-450.0,132.38383805409373,2466.4098701898947,0
779.42286341,450.0,132.38383805409373,2466.4098701899056,0
782.51808059,-166.32935265,250.29698698832294,3934.914218994214,0
782.51808059,166.32935265,250.29698698832294,3934.914218994216,0
795.61751629,-83.62277061,374.0390786865099,5485.137065631987,0
795.61751629,83.62277061,374.0390786865097,5485.137065631987,0
809.01699437,-587.78525229,111.97180521752338,2265.7636453997256,1
809.01699437,587.78525229,111.97180521752338,2265.763645399711,1
822.19091188,-366.06297877,140.65633884384172,2406.9759363524754,0
822.19091188,366.06297877,140.65633884384172,2406.9759363524754,0
855.95086467,-278.11529494,158.6241881987409,2486.854283611028,0
855.95086467,278.11529494,158.6241881987409,2486.8542836110464,0
866.02540378,-500.0,112.13452056415683,2079.4021934634475,1
866.02540378,500.0,112.13452056415704,2079.402193463451,1
880.33284066,-187.12052174,197.74979185334297,2870.2288840684723,0
880.33284066,187.12052174,197.7497918533432,2870.2288840684632,0
895.06970583,-94.07561694,298.36623050928864,3932.4408562066965,0
895.06970583,94.07561694,298.36623050928864,3932.4408562067,0
913.54545764,-406.73664308,116.17850286884081,1943.7563850959632,1
913.54545764,406.73664308,116.17850286884082,1943.7563850959632,1
923.07692308,-384.61538462,117.93859525849574,1922.6928219652764,0
923.07692308,384.61538462,117.93859525849574,1922.6928219652837,0
951.0565163,-309.01699437,127.4155472025787,1913.4304564346785,0
951.0565163,309.01699437,127.4155472025789,1913.4304564346858,0
978.14760073,-207.91169082,155.14262335674007,2055.230759913675,0
978.14760073,207.91169082,155.14262335674005,2055.2307599136784,0
994.52189537,-104.52846327,286.3681358508848,2721.84564823218,0
994.52189537,104.52846327,286.3681358508848,2721.8456482321926,0
771.4505706268037,463.5342674169385,131.5916597844043,2484.1524591829184,0
763.2432865357237,476.9273378076856,130.92996600741793,2503.7123921486636,0
754.803511145861,490.17513151123757,130.38845402917607,2524.96891474889,0
746.1338152945575,503.273613121298,129.95799466533515,2547.813934684029,0
