x_m,y_m,worst_diameter_m,worst_area_m2,within_5m_of_best
757.7173124157496,613.5873812708454,116.54913101586264,2441.835447857142,1
746.8933320362552,626.7179194415464,116.88889976769285,2485.407532441579,0
735.8418407125043,639.6575532628328,117.28506707238321,2521.40237605077,0
857.1673006969681,515.0380749080217,111.89083225362317,2107.516833095149,1
848.0480961513181,529.919264231083,111.74285230608061,2136.910999055188,1
838.670567940354,544.6390350128164,111.68313997338863,2167.5021242664116,1
829.037572550011,559.1929034684479,111.70514212472212,2199.216882336732,1
819.1520442840019,573.5764363486599,111.80307171083388,2231.9900686715046,1
809.01699437,587.7852522900001,111.97180521752338,2265.763645399722,1
798.6355100423893,601.8150231494893,112.20679614853232,2300.4859173187906,1
788.0107536018638,615.6614753230141,112.50400135436948,2336.1108229230267,1
777.1459614521596,629.3203910471091,112.85981841236855,2377.2268755909263,1
766.044443114215,642.7876096837273,113.271032184644,2420.5219020761906,1
754.7095802180588,656.0590289876126,113.73476855664025,2458.2664564889637,1
