trial,policy,station_x_m,station_y_m,target_x_m,target_y_m,q_x_m,q_y_m,receive_radius_m,move_m,decision_time_ms,safe_certified,conditional_worst_diameter_m,conditional_worst_area_m2,conservative_worst_diameter_m,detected,near,area_m2,diameter_m,mec_radius_m,repository_mec_radius_m,legacy_area_m2,contains_truth
0,mechanistic_minimax,29.08900059877044,-721.632782512681,-253.20294154616545,-688.3861856439603,-740.7826939187598,-83.43408777115008,1361.7052621429216,999.9999999945437,540.3112919999984,1,111.64133136560724,2166.382130082464,111.64133136560724,1,0,392.8052874424029,49.15046449117341,24.575232245586715,24.575232245586715,392.8052874424029,1
0,repository_neural,29.08900059877044,-721.632782512681,-253.20294154616545,-688.3861856439603,-916.6334725457608,-336.6947637138529,1361.7052621429216,1021.0623264656157,0.47708299999982273,0,129.49443843018526,1830.135217135772,1500.9444111116009,1,0,731.1036492342246,94.97758994459109,47.48879497229559,47.48879497229559,731.1036492342246,1
0,neural_safe_projection,29.08900059877044,-721.632782512681,-253.20294154616545,-688.3861856439603,-902.3891095287033,-357.83540683035164,1361.7052621429216,1000.0000001,0.47708299999982273,1,139.46256954053018,1965.8607205741573,139.46256954053018,1,0,738.9699792092433,96.98061260437055,48.490306302185274,48.490306302185274,738.9699792092433,1
0,analytic_far_range,29.08900059877044,-721.632782512681,-253.20294154616545,-688.3861856439603,-932.3541729003406,-996.6364627279797,1361.7052621429216,1000.0,0.0,1,118.10265871807208,1926.5137734566815,118.10265871807208,1,0,487.10879747965373,69.16297192292713,34.581485961463564,34.581485961463564,487.10879747965373,1
0,fixed_750_375,29.08900059877044,-721.632782512681,-253.20294154616545,-688.3861856439603,-759.329595681334,-1007.1518134715816,1361.7052621429216,838.525491562421,0.0,1,153.45707880514553,2759.1492173157167,153.45707880514553,1,0,325.9389743965585,47.4313441977905,23.71567209889525,23.71567209889525,325.9389743965585,1
0,perpendicular_500,29.08900059877044,-721.632782512681,-253.20294154616545,-688.3861856439603,-28.879141897843823,-1218.2611087844434,1361.7052621429216,499.99999999999983,0.0,0,249.3810866252269,5997.643118882086,1500.9444111116009,1,0,218.77200210851151,29.66559009998497,14.83279504999251,14.83279504999251,218.7720021083951,1
1,mechanistic_minimax,-951.4546308320278,-607.9598693087785,-1033.800070594186,275.22944373070067,-1577.3634018453295,171.93641248624715,1113.1086637155702,999.9999999945439,585.6232919999975,1,111.6734079241329,2167.24139856128,111.6734079241329,1,0,588.2487452612258,37.542365559756824,18.771182779878412,18.771182779878412,588.2487452612258,1
1,repository_neural,-951.4546308320278,-607.9598693087785,-1033.800070594186,275.22944373070067,-777.109461764645,391.31607063262777,1113.1086637155702,1014.3710574158331,0.0323749999999734,0,130.99341409541339,1867.5675654462539,1500.2886399231645,1,0,327.19485248671845,37.22449068735444,18.612245343677287,18.612245343677287,327.19485248671845,1
1,neural_safe_projection,-951.4546308320278,-607.9598693087785,-1033.800070594186,275.22944373070067,-789.4232817920418,378.82574171738673,1113.1086637155702,1000.0000001,0.0323749999999734,1,137.76667896326163,1960.303293631412,137.76667896326163,1,0,306.46030849195085,36.426057204468215,18.213028602234107,18.213028602234107,306.46030849195085,1
1,analytic_far_range,-951.4546308320278,-607.9598693087785,-1033.800070594186,275.22944373070067,-1426.5995313636372,271.9476960063556,1113.1086637155702,1000.0,0.0,1,117.92642607325033,1922.4095108765177,117.92642607325033,1,0,418.5275447226595,35.0820819203429,17.54104096017145,17.54104096017145,418.5275447226595,1
1,fixed_750_375,-951.4546308320278,-607.9598693087785,-1033.800070594186,275.22944373070067,-1399.6955129295357,100.70444587609666,1113.1086637155702,838.5254915624212,0.0,1,153.24998934111156,2753.786302363733,153.24998934111156,1,0,451.1727971426444,39.87008906731875,19.935044533659394,19.935044533659394,451.1727971426444,1
1,perpendicular_500,-951.4546308320278,-607.9598693087785,-1033.800070594186,275.22944373070067,-1448.9398341566298,-658.0445223781493,1113.1086637155702,499.99999999999983,0.0,0,249.6507706841909,6031.366571330233,1500.2886399231645,1,0,2054.7866798184114,123.81552179754011,61.90776089877007,61.90776089877004,2054.7866798184114,1
2,mechanistic_minimax,592.9850875188746,759.9216892474946,1138.6945475618686,1181.5343034083583,1439.9576850397534,688.2458980092454,1401.7423834403899,850.0000000005257,550.2456669999987,1,43.69483926829084,649.2047184002586,43.69483926829084,1,0,477.1024038330652,32.55423391423963,16.277116957119826,16.277116957119826,477.1024038330652,1
2,repository_neural,592.9850875188746,759.9216892474946,1138.6945475618686,1181.5343034083583,1192.738383417312,1014.8771030658539,1401.7423834403899,651.694927843028,0.03454100000155336,1,87.12396557364542,393.05139175243676,87.12396557364542,1,0,148.02200250560418,27.852908889557277,13.926454444778651,13.926454444778651,148.02200250560418,1
2,neural_safe_projection,592.9850875188746,759.9216892474946,1138.6945475618686,1181.5343034083583,1192.738383417312,1014.8771030658539,1401.7423834403899,651.694927843028,0.03454100000155336,1,87.12396557364542,393.05139175243676,87.12396557364542,1,0,148.02200250560418,27.852908889557277,13.926454444778651,13.926454444778651,148.02200250560418,1
2,analytic_far_range,592.9850875188746,759.9216892474946,1138.6945475618686,1181.5343034083583,1096.2661964710915,1624.0444382663054,1401.7423834403899,1000.0,0.0,1,87.10355756015241,533.3785626871977,87.10355756015241,1,0,441.58437502011657,40.7442128799347,20.372106439967457,20.372106439967457,441.58437502011657,1
2,fixed_750_375,592.9850875188746,759.9216892474946,1138.6945475618686,1181.5343034083583,964.1458566028168,1511.8290528854736,1401.7423834403899,838.5254915624208,0.0,1,63.23884767523046,408.4956102739088,63.23884767523046,1,0,323.9327161475085,29.60400395131177,14.802001975656003,14.802001975656003,323.9327161475085,1
2,perpendicular_500,592.9850875188746,759.9216892474946,1138.6945475618686,1181.5343034083583,290.94403200100356,1158.3827297290582,1401.7423834403899,499.9999999999999,0.0,0,110.12093740991233,1724.902383029461,853.4822171938297,1,0,1328.5162169267423,92.48102849566001,46.24051424783011,46.24051424783011,1328.5162169267423,1
3,mechanistic_minimax,-462.84825345955835,-933.6307955549262,-184.89003705386344,-632.4034424071284,-287.92089752490085,50.950547013983964,1027.3703641512266,999.9999999945439,649.8970419999991,1,111.67714021361236,2167.341387472261,111.67714021361236,1,0,438.62207190625486,44.67751571384539,22.338757856922694,22.338757856922694,438.62207190625486,1
3,repository_neural,-462.84825345955835,-933.6307955549262,-184.89003705386344,-632.4034424071284,400.04371431387915,-409.3399020002387,1027.3703641512266,1009.6848464309484,0.03529199999974253,0,132.82155636471765,1902.495196593838,1501.808994705589,1,0,711.6080475080234,79.43336811152493,39.716684055762464,39.716684055762464,711.6080475080234,1
3,neural_safe_projection,-462.84825345955835,-933.6307955549262,-184.89003705386344,-632.4034424071284,388.2005861070211,-408.5442570944755,1027.3703641512266,1000.0000001,0.03529199999974253,1,137.42019466141068,1965.9814288702328,137.42019466141068,1,0,710.780812994868,79.97750358786328,39.98875179393164,39.98875179393164,710.780812994868,1
3,analytic_far_range,-462.84825345955835,-933.6307955549262,-184.89003705386344,-632.4034424071284,-113.38374191806878,3.318805636657771,1027.3703641512266,1000.0000000000001,0.0,1,117.931093051233,1922.518160637992,117.931093051233,1,0,534.0593755177979,58.847727988447105,29.423863994223602,29.423863994223602,534.0593755177979,1
3,fixed_750_375,-462.84825345955835,-933.6307955549262,-184.89003705386344,-632.4034424071284,-224.56253329648052,-129.67500350764976,1027.3703641512266,838.5254915624213,0.0,1,153.25547397704915,2753.9282917150267,153.25547397704915,1,0,341.7271771983069,39.81760259415503,19.908801297077567,19.908801297077567,341.7271771983069,1
3,perpendicular_500,-462.84825345955835,-933.6307955549262,-184.89003705386344,-632.4034424071284,-828.0818171746182,-592.156866922011,1027.3703641512266,499.99999999999994,0.0,0,249.50824643828705,5973.991139276499,1501.808994705589,1,0,414.52642115813796,43.171813137306245,21.585906568653137,21.585906568652984,414.52642115813796,1
4,mechanistic_minimax,801.387835131905,392.9099681322224,855.5991910254656,474.8482858732227,691.9133193354436,1336.581166376749,1261.2832064288261,950.0000000027002,442.89266600000235,1,49.54865543968951,816.0425550425425,49.54865543968951,1,0,143.22709805786144,46.8481804606642,23.424090230332126,23.424090230332126,143.22709805786144,1
4,repository_neural,801.387835131905,392.9099681322224,855.5991910254656,474.8482858732227,1368.25575505378,892.3440806810505,1261.2832064288261,755.4956461912859,0.031833000001313394,1,100.33140700008714,501.6870081615634,100.33140700008714,1,0,293.9842486024136,92.57052645878358,46.28526322939182,46.28526322939182,293.9842486024136,1
4,neural_safe_projection,801.387835131905,392.9099681322224,855.5991910254656,474.8482858732227,1368.25575505378,892.3440806810505,1261.2832064288261,755.4956461912859,0.031833000001313394,1,100.33140700008714,501.6870081615634,100.33140700008714,1,0,293.9842486024136,92.57052645878358,46.28526322939182,46.28526322939182,293.9842486024136,1
4,analytic_far_range,801.387835131905,392.9099681322224,855.5991910254656,474.8482858732227,1005.2496438427481,1371.9096427742234,1261.2832064288261,1000.0000000000001,0.0,1,87.10355766165105,533.3554446159396,87.10355766165105,1,0,240.26395683793817,83.13356940648963,41.566784703244814,41.566784703244814,240.26395683793817,1
4,fixed_750_375,801.387835131905,392.9099681322224,855.5991910254656,474.8482858732227,915.4453284972066,1223.6421079987526,1261.2832064288261,838.5254915624213,0.0,1,63.238847752036335,553.2900601304136,63.238847752036335,1,0,172.0110349812312,59.02234207872584,29.51117103936295,29.51117103936295,172.0110349812312,1
4,perpendicular_500,801.387835131905,392.9099681322224,855.5991910254656,474.8482858732227,388.746025433836,675.2692018914579,1261.2832064288261,500.0,0.0,0,133.8074416455184,2311.6086242324673,975.0794383887325,1,0,61.84634405001998,19.10337032887173,9.551685164435884,9.551685164435884,61.84634405001998,1
5,mechanistic_minimax,304.44619575073,95.90883696035095,236.86380717595762,395.8370572565205,-411.7802770577098,793.7767611676963,1275.3909858255229,999.9999999945439,706.5242500000011,1,111.65149040632328,2166.6542592067053,111.65149040632328,1,0,392.7974099929561,49.15106032206281,24.575530161031434,24.575530161031434,392.7974099929561,1
5,repository_neural,304.44619575073,95.90883696035095,236.86380717595762,395.8370572565205,353.97986808349367,1113.1098867650385,1275.3909858255229,1018.4063827463611,0.03833399999919607,0,130.54277306922734,1853.558051504384,1501.4219468786798,1,0,731.6185590897803,92.85238624339753,46.426193121698766,46.426193121698766,731.6185590897803,1
5,neural_safe_projection,304.44619575073,95.90883696035095,236.86380717595762,395.8370572565205,340.54522848905543,1095.257054567886,1275.3909858255229,1000.0000000999999,0.03833399999919607,1,139.27755342601864,1973.1988398201793,139.27755342601864,1,0,737.6521406733373,94.53458151409843,47.26729075704922,47.26729075704922,737.6521406733373,1
5,analytic_far_range,304.44619575073,95.90883696035095,236.86380717595762,395.8370572565205,-274.3179823883994,911.4037947025422,1275.3909858255229,1000.0000000000001,0.0,1,117.8990200493089,1921.7715238313685,117.8990200493089,1,0,506.9917804923025,66.75007674421418,33.3750383721071,33.3750383721071,506.9917804923025,1
5,fixed_750_375,304.44619575073,95.90883696035095,236.86380717595762,395.8370572565205,-226.7600854469373,744.7114932558881,1275.3909858255229,838.5254915624212,0.0,1,153.21778109776506,2752.952525603592,153.21778109776506,1,0,334.36300181009574,45.71134924507924,22.855674622539624,22.855674622539624,334.36300181009574,1
5,perpendicular_500,304.44619575073,95.90883696035095,236.86380717595762,395.8370572565205,-183.23689592626778,-14.387137999595026,1275.3909858255229,500.00000000000006,0.0,0,249.6246109243047,5977.937965852812,1501.4219468786798,1,0,250.65219427406555,31.95858591885702,15.979292959428538,15.979292959428484,250.65219427406555,1
6,mechanistic_minimax,342.5585269695648,1126.1573853120806,-63.62340961216661,1648.8159980823332,-468.5614901697844,1276.8534960672346,1055.7972195687792,825.0000000005259,874.6720830000002,1,43.0817948587925,616.8271998343989,43.0817948587925,1,0,437.15929930403945,30.879184696577827,15.439592348288913,15.439592348288913,437.15929930403945,1
6,repository_neural,342.5585269695648,1126.1573853120806,-63.62340961216661,1648.8159980823332,68.26113317073668,1730.424597226143,1055.7972195687792,663.6097675887719,0.10599999999882925,1,89.13231237993789,390.73115885956213,89.13231237993789,1,0,132.25656124210218,24.680515541570383,12.340257770785227,12.340257770785227,132.25656124210218,1
6,neural_safe_projection,342.5585269695648,1126.1573853120806,-63.62340961216661,1648.8159980823332,68.26113317073668,1730.424597226143,1055.7972195687792,663.6097675887719,0.10599999999882925,1,89.13231237993789,390.73115885956213,89.13231237993789,1,0,132.25656124210218,24.680515541570383,12.340257770785227,12.340257770785227,132.25656124210218,1
6,analytic_far_range,342.5585269695648,1126.1573853120806,-63.62340961216661,1648.8159980823332,-532.8639522121676,1609.5159302280767,1055.7972195687792,999.9999999999999,0.0,1,87.10355766133367,533.3977140711795,87.10355766133367,1,0,451.98527107495465,42.03343331192883,21.016716655964416,21.016716655964416,451.98527107495465,1
6,fixed_750_375,342.5585269695648,1126.1573853120806,-63.62340961216661,1648.8159980823332,-417.6521168603074,1480.0002558178621,1055.7972195687792,838.5254915624212,0.0,1,63.23884775184297,395.63822866929695,63.23884775184297,1,0,319.1930411015055,30.05414599933002,15.027072999665018,15.027072999665018,319.1930411015055,1
6,perpendicular_500,342.5585269695648,1126.1573853120806,-63.62340961216661,1648.8159980823332,-48.880508988151234,815.0698074043571,1055.7972195687792,500.00000000000006,0.0,0,107.2676014313537,1675.7356669122819,858.3315525601189,1,0,1061.1813846058212,79.6205123421919,39.81025617109595,39.81025617109595,1061.1813846058212,1
7,mechanistic_minimax,841.260488176685,648.0442957619142,397.8093566807756,51.347436180371,762.2034434189982,-348.825797912918,1451.7229574300998,999.9999999945438,675.3958329999996,1,111.67086080469873,2167.1731610029383,111.67086080469873,1,0,504.40315491129877,35.56458112025308,17.782290560126548,17.782290560126548,504.40315491129877,1
7,repository_neural,841.260488176685,648.0442957619142,397.8093566807756,51.347436180371,31.219716692310044,41.02470347675796,1451.7229574300998,1012.2444551021451,0.03708299999871656,0,132.1682625579612,1888.5767013072327,1501.808994705592,1,0,408.74222856678534,44.94967516857976,22.474837584289908,22.474837584289908,408.74222856678534,1
7,neural_safe_projection,841.260488176685,648.0442957619142,397.8093566807756,51.347436180371,46.17662505317145,41.544789743492125,1451.7229574300998,1000.0000001,0.03708299999871656,1,137.98022316788425,1968.3775963539956,137.98022316788425,1,0,391.08022852486465,44.396132148671235,22.198066074335642,22.198066074335642,391.08022852486465,1
7,analytic_far_range,841.260488176685,648.0442957619142,397.8093566807756,51.347436180371,583.8831101385248,-318.266671408697,1451.7229574300998,1000.0000000000001,0.0,1,117.92324106407033,1922.335362741418,117.92324106407033,1,0,428.4103149190778,39.063848300322576,19.531924150161288,19.531924150161288,428.4103149190778,1
7,fixed_750_375,841.260488176685,648.0442957619142,397.8093566807756,51.347436180371,681.7031219622978,-175.16068896954857,1451.7229574300998,838.5254915624212,0.0,1,153.24624624208383,2753.689402565644,153.24624624208383,1,0,337.17166932060354,29.282023169985056,14.641011584992528,14.641011584992528,337.17166932060354,1
7,perpendicular_500,841.260488176685,648.0442957619142,397.8093566807756,51.347436180371,1237.7545157096285,343.42570451918425,1451.7229574300998,499.99999999999994,0.0,0,249.5290589484728,5974.6912738013525,1501.808994705592,1,0,1417.5944870825333,96.57782142125953,48.288910710629764,48.288910710629814,1417.594487082526,1
8,mechanistic_minimax,-501.9875886201058,-792.9744097778483,-1004.668916340826,-843.2040164509951,-1336.8634422338062,-242.53612163085165,1174.0323841685977,1000.0000000027005,465.36470799999915,1,54.393444124564944,929.6113628493622,54.393444124564944,1,0,464.28517830441706,37.758673254749525,18.879336627374812,18.879336627374812,464.28517830441706,1
8,repository_neural,-501.9875886201058,-792.9744097778483,-1004.668916340826,-843.2040164509951,-1317.3679597138557,-666.1517550537272,1174.0323841685977,825.184303847483,0.03333300000107897,1,108.14631793035183,583.3295037061907,108.14631793035183,1,0,374.11856488487683,48.967987165622084,24.483993582811056,24.483993582811056,374.11856488487683,1
8,neural_safe_projection,-501.9875886201058,-792.9744097778483,-1004.668916340826,-843.2040164509951,-1317.3679597138557,-666.1517550537272,1174.0323841685977,825.184303847483,0.03333300000107897,1,108.14631793035183,583.3295037061907,108.14631793035183,1,0,374.11856488487683,48.967987165622084,24.483993582811056,24.483993582811056,374.11856488487683,1
8,analytic_far_range,-501.9875886201058,-792.9744097778483,-1004.668916340826,-843.2040164509951,-1383.1031047984593,-1265.8755063612182,1174.0323841685977,1000.0000000000001,0.0,1,87.10355766090991,554.6403990313411,87.10355766090991,1,0,520.5380972297862,52.50695898240994,26.25347949120505,26.25347949120505,520.5380972297862,1
8,fixed_750_375,-501.9875886201058,-792.9744097778483,-1004.668916340826,-843.2040164509951,-1211.7918513894956,-1239.40795304538,1174.0323841685977,838.5254915624213,0.0,1,63.23884775158444,777.7268365160562,63.23884775158444,1,0,330.59395385393873,35.34192407103358,17.67096203551687,17.67096203551687,330.59395385393873,1
8,perpendicular_500,-501.9875886201058,-792.9744097778483,-1004.668916340826,-843.2040164509951,-453.1708356159262,-1290.5856281261981,1174.0323841685977,500.0000000000001,0.0,0,158.80033267098923,2994.2881438718177,1072.6078850030142,1,0,587.2379571755882,53.92957606015742,26.964788030078754,26.964788030078754,587.2379571755882,1
9,mechanistic_minimax,752.3857460118123,-44.39541695563677,374.51584911431706,256.43240973551946,-244.04934015509627,39.96760245828104,1049.4419797116404,999.9999999945438,529.5555420000006,1,111.65329110793927,2166.702494661673,111.65329110793927,1,0,459.17142879779567,41.28883369340872,20.644416846704363,20.644416846704363,459.17142879779567,1
9,repository_neural,752.3857460118123,-44.39541695563677,374.51584911431706,256.43240973551946,153.99036026962483,766.645049352957,1049.4419797116404,1007.9006278734042,0.03512500000013574,0,132.93192822049969,1908.5557523441967,1501.4700531792303,1,0,686.286120465491,74.40493500520677,37.202467502603405,37.202467502603405,686.286120465491,1
9,neural_safe_projection,752.3857460118123,-44.39541695563677,374.51584911431706,256.43240973551946,154.15906502380574,756.9315065618961,1049.4419797116404,1000.0000001,0.03512500000013574,1,136.6622849896495,1960.1328681593295,136.6622849896495,1,0,684.2761657290685,74.76604873605888,37.383024368029446,37.383024368029446,684.2761657290685,1
9,analytic_far_range,752.3857460118123,-44.39541695563677,374.51584911431706,256.43240973551946,-212.54131243738289,218.12271931799935,1049.4419797116404,1000.0,0.0,1,117.90127161635507,1921.8239363910398,117.90127161635507,1,0,518.3926195707463,52.01010021057755,26.00505010528878,26.00505010528878,518.3926195707463,1
9,fixed_750_375,752.3857460118123,-44.39541695563677,374.51584911431706,256.43240973551946,-69.95812805282037,119.54223213197068,1049.4419797116404,838.5254915624212,0.0,1,153.2204272226529,2753.021024578251,153.2204272226529,1,0,331.1286309467978,35.49666588069699,17.748332940348522,17.748332940348522,331.1286309467978,1
9,perpendicular_500,752.3857460118123,-44.39541695563677,374.51584911431706,256.43240973551946,445.6606334145196,-439.2621100334122,1049.4419797116404,500.0,0.0,0,249.6121971163009,5977.5137198918965,1501.4700531792303,1,0,579.3436575029045,53.45833778391426,26.72916889195713,26.729168891957162,579.3436575028754,1
10,mechanistic_minimax,1032.5072365620495,719.7605291267129,-168.320978313471,297.5280595715451,57.3044619166991,941.0737648653317,1419.5667345855984,999.9999999945437,618.5958340000007,1,111.7105337953604,2168.2360752542736,111.7105337953604,1,0,1465.8387283378397,83.69139662069728,41.84569831034866,41.84569831034866,1465.8387283378397,1
10,repository_neural,1032.5072365620495,719.7605291267129,-168.320978313471,297.5280595715451,27.355320058143207,638.7342382331582,1419.5667345855984,1008.4124330190712,0.041374999998566864,0,132.9771184151035,1902.908502305363,1501.8089947055917,1,0,1064.9228716234356,90.82883524958389,45.414417624791966,45.414417624791966,1064.9228716234356,1
10,neural_safe_projection,1032.5072365620495,719.7605291267129,-168.320978313471,297.5280595715451,36.23590864586811,633.4851480952243,1419.5667345855984,1000.0000001,0.041374999998566864,1,136.97494597550195,1957.5255897168827,136.97494597550195,1,0,1104.8315775846713,94.31521771265302,47.15760885632651,47.15760885632651,1104.8315775846713,1
10,analytic_far_range,1032.5072365620495,719.7605291267129,-168.320978313471,297.5280595715451,299.1769827748434,39.88793894499952,1419.5667345855984,1000.0,0.0,1,118.17286347996526,1948.9284400604956,118.17286347996526,1,0,1015.4790143872524,74.73109152605754,37.36554576302878,37.36554576302878,1015.4790143872524,1
10,fixed_750_375,1032.5072365620495,719.7605291267129,-168.320978313471,297.5280595715451,458.2716929236201,108.71344385236387,1419.5667345855984,838.5254915624212,0.0,1,153.53956450508844,2810.9492934942828,153.53956450508844,1,0,1538.6513527561037,101.96036631521504,50.980183157607534,50.980183157607534,1538.6513527561037,1
10,perpendicular_500,1032.5072365620495,719.7605291267129,-168.320978313471,297.5280595715451,1205.2695370714544,250.5556831130575,1419.5667345855984,499.99999999999994,0.0,0,249.3127268150859,5967.873201036826,1501.8089947055917,1,0,4983.797216648265,224.35103094397783,112.17551547198892,112.17551547198896,4983.797216648265,1
11,mechanistic_minimax,-453.625366616076,-1339.920136356443,-911.4672853574959,-1185.033940643301,-1011.5131291169429,-510.00372825207023,1444.594277265445,999.9999999945437,493.07016599999895,1,56.95010884637062,956.7658402221277,56.95010884637062,1,0,451.2533155879937,39.437607380628116,19.718803690314097,19.718803690314097,451.2533155879937,1
11,repository_neural,-453.625366616076,-1339.920136356443,-911.4672853574959,-1185.033940643301,-1133.758667397326,-880.0646981240211,1444.594277265445,821.0044646063327,0.04041600000093126,1,104.11861834464669,736.2874735044315,104.11861834464669,1,0,389.3850684352219,50.47781604520021,25.238908022600103,25.238908022600103,389.3850684352219,1
11,neural_safe_projection,-453.625366616076,-1339.920136356443,-911.4672853574959,-1185.033940643301,-1133.758667397326,-880.0646981240211,1444.594277265445,821.0044646063327,0.04041600000093126,1,104.11861834464669,736.2874735044315,104.11861834464669,1,0,389.3850684352219,50.47781604520021,25.238908022600103,25.238908022600103,389.3850684352219,1
11,analytic_far_range,-453.625366616076,-1339.920136356443,-911.4672853574959,-1185.033940643301,-1451.7283717927119,-1401.4862882369082,1444.594277265445,1000.0000000000001,0.0,1,87.10355766079539,622.9425803381018,87.10355766079539,1,0,522.6246007471345,53.025557395719304,26.51277869785971,26.51277869785971,522.6246007471345,1
11,fixed_750_375,-453.625366616076,-1339.920136356443,-911.4672853574959,-1185.033940643301,-1285.0250256457348,-1449.0054560166382,1444.594277265445,838.525491562421,0.0,1,74.75216879839809,955.5866556311958,74.75216879839809,1,0,332.5327102127485,35.91312029545426,17.95656014772717,17.95656014772717,332.5327102127485,1
11,perpendicular_500,-453.625366616076,-1339.920136356443,-911.4672853574959,-1185.033940643301,-617.1531052052144,-1812.4227064149798,1444.594277265445,500.00000000000006,0.0,0,178.05789734383376,3547.6938427574933,1149.7602381088159,1,0,587.7248834501952,53.958584064199904,26.97929203209998,26.97929203209998,587.7248834501952,1
12,mechanistic_minimax,277.7104158787491,1001.8359558608652,-679.2360477536633,1392.7428224994028,-719.0130077563119,920.9507485018273,1249.8213377871086,999.9999999961558,527.5469170000022,1,83.00701867378869,1300.5994176245295,83.00701867378869,1,0,625.6812061970122,45.96211984428427,22.981059922142148,22.981059922142148,625.6812061970122,1
12,repository_neural,277.7104158787491,1001.8359558608652,-679.2360477536633,1392.7428224994028,-492.9930142970322,1589.8108093764902,1249.8213377871086,969.3803204374617,0.037584000001089635,1,122.88875762460157,1321.5288717895746,122.88875762460157,1,0,364.4079408198595,43.49985616061393,21.749928080307072,21.749928080307072,364.4079408198595,1
12,neural_safe_projection,277.7104158787491,1001.8359558608652,-679.2360477536633,1392.7428224994028,-492.9930142970322,1589.8108093764902,1249.8213377871086,969.3803204374617,0.037584000001089635,1,122.88875762460157,1321.5288717895746,122.88875762460157,1,0,364.4079408198595,43.49985616061393,21.749928080307072,21.749928080307072,364.4079408198595,1
12,analytic_far_range,277.7104158787491,1001.8359558608652,-679.2360477536633,1392.7428224994028,-722.2793423114801,997.3100841606192,1249.8213377871086,1000.0000000000001,0.0,1,87.1035576573841,1189.6314947325736,87.1035576573841,1,0,522.6942487319466,43.70646381746304,21.85323190873152,21.85323190873152,522.6942487319466,1
12,fixed_750_375,277.7104158787491,1001.8359558608652,-679.2360477536633,1392.7428224994028,-558.558370009217,940.358173292954,1249.8213377871086,838.5254915624213,0.0,1,112.24440999750864,1791.1500297226012,112.24440999750864,1,0,739.6348431117367,59.785464852286594,29.892732426143297,29.892732426143297,739.6348431117367,1
12,perpendicular_500,277.7104158787491,1001.8359558608652,-679.2360477536633,1392.7428224994028,87.49355701151077,539.4318613691737,1249.8213377871086,500.0,0.0,0,228.6510784179858,5258.479165333323,1366.9998383911827,1,0,3255.058643094264,168.5641532385955,84.28207661929783,84.28207661929783,3255.058643094264,1
