policy,mean_area_m2,ci95_low,ci95_high,radius_marginalized_loss_p50_m2,radius_marginalized_loss_p95_m2,no_signal_probability,near_probability,mean_move_m,outside_arena_fraction
original_nn,506.0449898720253,503.34156535292,508.74841439113067,432.8260498046875,1086.454833984375,4.963276296621189e-07,0.0,946.7326049804688,0.0321044921875
shared_right,505.2987292740145,502.57077404045856,508.0266845075704,433.03521728515625,1079.3665771484375,3.1466328209717176e-07,0.0,946.3897094726562,0.03662109375
shared_left,505.1616134385695,502.4347515843829,507.888475292756,432.9414978027344,1079.025146484375,3.0352194357874396e-07,0.0,946.3641357421875,0.0355224609375
hand_fixed_750_375,657.9779631085694,654.8742524427046,661.0816737744342,396.063720703125,1878.1876220703125,0.0,0.0,838.5255737304688,0.099853515625
optimized_fixed,546.1168616879731,544.9663088939665,547.2674144819798,467.01031494140625,1224.735107421875,0.0,0.0,972.05810546875,0.11669921875
approximate_moments,505.36054555297596,502.63452463958635,508.0865664663656,434.70648193359375,1068.4619140625,3.034148505776102e-07,0.0,950.4579467773438,0.037841796875
