trial,policy,scenario,station_x_m,station_y_m,target_x_m,target_y_m,q_x_m,q_y_m,receive_radius_m,move_m,decision_time_ms,safe_certified,safe_margin_m,conditional_worst_mec_radius_m,conditional_worst_diameter_m,conditional_worst_area_m2,conservative_worst_mec_radius_m,detected,near,area_m2,diameter_m,mec_radius_m,contains_truth
5,fixed_750_375,global_random,304.44619575073,95.90883696035095,236.86380717595762,395.8370572565205,-226.7600854469373,744.7114932558881,1275.3909858255229,838.5254915624212,0.0,1,161.4745084376358,76.60889054888253,153.21778109776506,2779.4036871061035,76.60889054888253,1,0,334.36300181009574,45.71134924507924,22.855674622539624,1
6,minimax_mec,global_random,342.5585269695648,1126.1573853120806,-63.62340961216661,1648.8159980823332,-468.5614901673234,1276.8534960681177,1055.7972195687792,824.9999999982678,3860.9058750000004,1,175.0000000017012,21.57712119425048,43.154242386065484,618.7818976128474,21.57712119425048,1,0,437.1592993021477,30.879184696551494,15.439592348275747,1
6,analytic_far_range,global_random,342.5585269695648,1126.1573853120806,-63.62340961216661,1648.8159980823332,-532.8639522121676,1609.5159302280767,1055.7972195687792,999.9999999999999,0.0,1,-2.1373125491663814e-11,43.55177883066676,87.10355766133353,533.3924265304522,43.55177883066676,1,0,451.98527107498376,42.033433311929045,21.016716655964522,1
6,fixed_750_375,global_random,342.5585269695648,1126.1573853120806,-63.62340961216661,1648.8159980823332,-417.6521168603074,1480.0002558178621,1055.7972195687792,838.5254915624212,0.0,1,161.47450843755507,31.61942387592129,63.238847751842435,396.35034894314595,31.61942387592129,1,0,319.1930411015346,30.05414599932999,15.027072999665,1
7,minimax_mec,global_random,841.260488176685,648.0442957619142,397.8093566807756,51.347436180371,-101.58105475655123,314.8029044126976,1451.7229574300998,999.9999999945437,2488.568208,1,5.446963768918067e-09,55.840156030492196,111.68031206098438,2167.4263612225695,55.840156030492196,1,0,512.7944850268832,35.31208833286805,17.656044166434025,1
7,analytic_far_range,global_random,841.260488176685,648.0442957619142,397.8093566807756,51.347436180371,583.8831101385248,-318.266671408697,1451.7229574300998,1000.0000000000001,0.0,1,9.777068044058979e-12,58.97112759800123,117.94225519165549,1922.778030948175,58.97112759800123,1,0,428.4103149190705,39.063848300322455,19.531924150161228,1
7,fixed_750_375,global_random,841.260488176685,648.0442957619142,397.8093566807756,51.347436180371,681.7031219622978,-175.16068896954857,1451.7229574300998,838.5254915624212,0.0,1,161.47450843758998,76.6342958351628,153.2685916703256,2754.267899697883,76.6342958351628,1,0,337.17166932060354,29.282023169985035,14.641011584992528,1
8,minimax_mec,global_random,-501.9875886201058,-792.9744097778483,-1004.668916340826,-843.2040164509951,-1336.8634422337082,-242.53612163531,1174.0323841685977,1000.0000000001646,3264.895124999999,1,-1.4279066817834973e-10,27.146989265116087,54.29397853023206,926.6365280500613,27.146989265116087,1,0,464.2851783023216,37.75867325470059,18.879336627350295,1
8,analytic_far_range,global_random,-501.9875886201058,-792.9744097778483,-1004.668916340826,-843.2040164509951,-1383.1031047984593,-1265.8755063612182,1174.0323841685977,1000.0000000000001,0.0,1,-2.7966962079517543e-11,43.551778830454985,87.10355766090986,552.2546986360103,43.551778830454985,1,0,520.5380972297862,52.50695898240984,26.253479491204942,1
8,fixed_750_375,global_random,-501.9875886201058,-792.9744097778483,-1004.668916340826,-843.2040164509951,-1211.7918513894956,-1239.40795304538,1174.0323841685977,838.5254915624213,0.0,1,161.47450843754814,31.61942387579216,63.23884775158427,777.254273168277,31.61942387579216,1,0,330.59395385393873,35.341924071033674,17.67096203551687,1
