layout,noise,n,total,bounded,unbounded,degenerate,failures,failure_rate,source_outside_count,median_vertices,mean_circularity,median_circularity,median_ratio,p95_ratio,max_ratio,failure_over_1pct,polygon_inside_arena_count,ci_low,ci_high
local_walk,truncnorm,2,2500,2160,340,0,0,0.0,0,4.0,0.1279325109406179,0.0946350108998962,1.0,1.0000000000000002,1.0000000000000002,0.0,1473,0.0,0.001775295877170106
local_walk,truncnorm,3,2500,2450,50,0,11,0.004489795918367347,0,5.0,0.20238015787853847,0.1607965232775547,1.0,1.0000000000000002,1.029817828287912,0.0016326530612244899,1995,0.0025089013673381907,0.008022120809258917
local_walk,truncnorm,4,2500,2492,8,0,22,0.00882825040128411,0,5.0,0.26320476041954627,0.22458374646421203,1.0,1.0000000000000002,1.0390615314686875,0.004414125200642055,2192,0.005837302194808497,0.013331166480000527
local_walk,truncnorm,6,2500,2500,0,0,63,0.0252,0,5.0,0.3626077454864283,0.33517099290222163,1.0,1.0000000000000002,1.0573144991280994,0.0096,2335,0.01974631158233743,0.03211058948593119
local_walk,truncnorm,8,2500,2500,0,0,120,0.048,0,6.0,0.4353689536985125,0.4201351903866618,1.0,1.0000000000000002,1.074833777309033,0.0204,2400,0.04029175041492176,0.05709518994492959
local_walk,truncnorm,12,2500,2500,0,0,249,0.0996,0,6.0,0.5370966113255474,0.5469258169789628,1.0,1.0060489583763648,1.0897018810397308,0.0388,2441,0.08846838919588358,0.11196021903439181
local_walk,truncnorm,20,2500,2500,0,0,526,0.2104,0,6.0,0.6341841250041498,0.659646350113407,1.0,1.0198068038057069,1.1151553557637215,0.084,2467,0.1948730498116787,0.2268155739233057
local_walk,truncnorm,32,2500,2500,0,0,855,0.342,0,6.0,0.6893794168430177,0.7115209216452698,1.0,1.0339326285754813,1.118116144453926,0.15,2475,0.3236597583495766,0.3608250570859467
local_walk,uniform,2,2500,2155,345,0,0,0.0,0,4.0,0.12841333023702337,0.09566752970095699,1.0,1.0000000000000002,1.0000000000000004,0.0,1500,0.0,0.0017794075637182693
local_walk,uniform,3,2500,2452,48,0,15,0.006117455138662317,0,5.0,0.18475361227577236,0.14393691995541807,1.0,1.0000000000000002,1.0382407066665864,0.0028548123980424145,2016,0.003710797986453998,0.01006918715841156
local_walk,uniform,4,2500,2492,8,0,32,0.012841091492776886,0,5.0,0.22834910201707193,0.18771829564851628,1.0,1.0000000000000002,1.0702111487161932,0.006420545746388443,2221,0.009110642139313431,0.01807115603978637
local_walk,uniform,6,2500,2500,0,0,74,0.0296,1,5.0,0.3004387800086976,0.264439077365343,1.0,1.0000000000000002,1.0721294222340205,0.0144,2379,0.023644146890246787,0.03699925298867815
local_walk,uniform,8,2500,2500,0,0,132,0.0528,3,5.0,0.35503693498049255,0.323159326023995,1.0,1.0000550069674154,1.1128853926462148,0.0256,2434,0.04469971297298948,0.06227249881666874
local_walk,uniform,12,2500,2500,0,0,290,0.116,6,5.0,0.4343071070374241,0.4265206723883284,1.0,1.0110832634787887,1.1128853926462141,0.0512,2458,0.10403236111306582,0.1291459245023831
local_walk,uniform,20,2500,2500,0,0,511,0.2044,8,5.0,0.5122969347274207,0.5266969139203757,1.0,1.0256601824466616,1.1276911076200788,0.09,2483,0.18905153943802597,0.2206554950096998
local_walk,uniform,32,2500,2500,0,0,794,0.3176,17,5.0,0.561853904163609,0.5831498413179625,1.0,1.0426095501690242,1.1398746097347234,0.154,2489,0.2996427516567318,0.3361169340106064
uniform_area,truncnorm,2,2500,2455,45,0,26,0.010590631364562118,0,4.0,0.44141226747032974,0.46192348574741837,1.0,1.0000000000000002,1.0005352805469283,0.0,2271,0.007237570649585713,0.015472904895867601
uniform_area,truncnorm,3,2500,2499,1,0,280,0.11204481792717087,0,5.0,0.561231776923895,0.59884278661779,1.0,1.0029538156440712,1.0944252688780063,0.026810724289715888,2417,0.1002686504286884,0.12501188295610252
uniform_area,truncnorm,4,2500,2500,0,0,489,0.1956,0,5.0,0.6099898444048396,0.6437485219542911,1.0,1.0130879286767547,1.1424071207272022,0.0644,2447,0.18052307371876666,0.21161096310764646
uniform_area,truncnorm,6,2500,2500,0,0,684,0.2736,0,5.0,0.6479463543909312,0.6793073201027295,1.0,1.019190899031473,1.1089216300485967,0.0968,2462,0.25648202877927934,0.2914126687814958
uniform_area,truncnorm,8,2500,2500,0,0,809,0.3236,0,5.0,0.6609496642214561,0.6859671366592892,1.0,1.0246819426948777,1.1357381773001114,0.108,2466,0.305543354288176,0.3421979206664209
uniform_area,truncnorm,12,2500,2500,0,0,975,0.39,0,6.0,0.6752941409649875,0.7003119099502771,1.0000000000000002,1.0284043270829728,1.113060054450503,0.1356,2476,0.3710632457249797,0.4092742840086125
uniform_area,truncnorm,20,2500,2500,0,0,1067,0.4268,2,6.0,0.6878561299467171,0.7095453289324274,1.0000000000000002,1.029602710810585,1.1127750390693598,0.1532,2480,0.4075383956626988,0.44628621503274624
uniform_area,truncnorm,32,2500,2500,0,0,1089,0.4356,1,6.0,0.6967610733110625,0.7172186439522654,1.0000000000000002,1.0331647746070842,1.1103212195420593,0.1604,2486,0.41627708204349584,0.45512052627326177
uniform_area,uniform,2,2500,2454,46,0,25,0.010187449062754686,0,4.0,0.4414169241426046,0.46163671177053295,1.0,1.0000000000000002,1.0005166350497183,0.0,2272,0.006909949979291117,0.01499604343922986
uniform_area,uniform,3,2500,2498,2,0,368,0.14731785428342675,8,4.0,0.5293681604435205,0.5579994029830921,1.0,1.0128236072753103,1.1132628243183131,0.055244195356285025,2422,0.13396083469598913,0.1617579272632267
uniform_area,uniform,4,2500,2500,0,0,621,0.2484,13,5.0,0.5649523244244039,0.5906946771404822,1.0,1.0271539739435764,1.1359854979536959,0.1072,2457,0.23185718725354051,0.2657148353007484
uniform_area,uniform,6,2500,2500,0,0,857,0.3428,26,5.0,0.5886136759001788,0.6057752525191105,1.0,1.036952968557738,1.1279457700751236,0.1588,2474,0.3244481403907945,0.36163422028302994
uniform_area,uniform,8,2500,2500,0,0,962,0.3848,29,5.0,0.5969754323977878,0.6142672077205555,1.0000000000000002,1.040384613740764,1.1358835559078968,0.1704,2477,0.365918228261087,0.4040352574235476
uniform_area,uniform,12,2500,2500,0,0,1069,0.4276,32,5.0,0.601419455669434,0.6160346415681409,1.0000000000000002,1.0486635192945102,1.142963021264401,0.194,2482,0.40833256386081396,0.4470895920729321
uniform_area,uniform,20,2500,2500,0,0,1189,0.4756,33,5.0,0.6155723613726591,0.6344203232420316,1.0000000000000002,1.0457880028046909,1.126174925494031,0.2308,2487,0.45607613403429803,0.495198736197517
uniform_area,uniform,32,2500,2500,0,0,1195,0.478,43,5.0,0.6199572032332695,0.6394070898330566,1.0000000000000002,1.0469893918538777,1.1427074256417196,0.2252,2492,0.4584680920007541,0.4975994139459643
