layout,noise,n,vertices_count,total,bounded,unbounded,degenerate,failures,failure_rate,source_outside_count,median_vertices,mean_circularity,median_circularity,median_ratio,p95_ratio,max_ratio,failure_over_1pct,polygon_inside_arena_count
local_walk,truncnorm,6,8,58,58,0,0,2,0.034482758620689655,0,8.0,0.4457852221415628,0.43742995221225645,1.0,1.0000000000000002,1.0139225288065339,0.034482758620689655,57
local_walk,truncnorm,6,9,6,6,0,0,0,0.0,0,9.0,0.4766749695397699,0.5147535496291472,1.0,1.0000000000000002,1.0000000000000002,0.0,6
local_walk,truncnorm,6,10,1,1,0,0,0,0.0,0,10.0,0.7001894627817572,0.7001894627817572,1.0,1.0,1.0,0.0,1
local_walk,truncnorm,8,3,4,4,0,0,0,0.0,0,3.0,0.44833167857603623,0.4756874253073957,1.0,1.0000000000000002,1.0000000000000002,0.0,4
local_walk,truncnorm,8,4,385,385,0,0,13,0.033766233766233764,0,4.0,0.41240803177617963,0.40772804967296183,1.0,1.0000000000000002,1.0423816317504515,0.012987012987012988,370
local_walk,truncnorm,8,5,787,787,0,0,40,0.05082592121982211,0,5.0,0.40752505156098306,0.3874059047244979,1.0,1.0000007963454554,1.0573144991280994,0.025412960609911054,757
local_walk,truncnorm,8,6,743,743,0,0,37,0.04979811574697174,0,6.0,0.445218833569012,0.42374418656135376,1.0,1.0000000000000002,1.0500068062110615,0.020188425302826378,721
local_walk,truncnorm,8,7,412,412,0,0,18,0.043689320388349516,0,7.0,0.4611822509947995,0.46129944781485677,1.0,1.0000000000000002,1.0278334086636907,0.01699029126213592,388
local_walk,truncnorm,8,8,139,139,0,0,11,0.07913669064748201,0,8.0,0.4997130159080675,0.47245683752755796,1.0,1.000996587114263,1.074833777309033,0.02877697841726619,132
local_walk,truncnorm,8,9,25,25,0,0,1,0.04,0,9.0,0.5534677942649602,0.5715563318439375,1.0,1.0000000000000002,1.0024990166342795,0.0,24
local_walk,truncnorm,8,10,5,5,0,0,0,0.0,0,10.0,0.605652980035109,0.6295745790203741,1.0,1.0000000000000002,1.0000000000000002,0.0,4
local_walk,truncnorm,12,3,10,10,0,0,3,0.3,0,3.0,0.4414580103014429,0.47666714069063165,1.0,1.051259330614166,1.0588019018740245,0.3,10
local_walk,truncnorm,12,4,337,337,0,0,31,0.09198813056379822,0,4.0,0.49617158588310156,0.500393509309471,1.0,1.0032886075494272,1.0843606507406494,0.04451038575667656,329
local_walk,truncnorm,12,5,680,680,0,0,71,0.10441176470588236,0,5.0,0.5102564122360421,0.5189675917288229,1.0,1.0065967671968774,1.0849475805852913,0.04411764705882353,664
local_walk,truncnorm,12,6,757,757,0,0,71,0.09379128137384413,0,6.0,0.5413172571493543,0.5513083519901987,1.0,1.0059678193442096,1.0595756757791177,0.034346103038309116,745
