x_m,y_m,worst_mec_radius_m
1400.0,-900.0,27.645488841027046
1425.0,-900.0,27.04105552755804
1350.0,-875.0,28.793320959942115
1375.0,-875.0,28.12558306559339
1400.0,-875.0,27.481765518763623
1425.0,-875.0,26.861856450872224
1450.0,-875.0,26.26582209475898
1475.0,-875.0,25.69360541858702
1300.0,-850.0,30.122860063864152
1325.0,-850.0,29.387693699406398
1350.0,-850.0,28.677200672588462
1375.0,-850.0,27.99142105497743
1400.0,-850.0,27.330375279640162
1425.0,-850.0,26.694062228296556
1450.0,-850.0,26.082457288510323
1475.0,-850.0,25.49551040485673
1500.0,-850.0,24.933144338280073
1525.0,-850.0,24.395253010990395
1275.0,-825.0,30.844601604983062
1300.0,-825.0,30.06314164559818
1325.0,-825.0,29.307116300518267
1350.0,-825.0,28.576599958727527
1375.0,-825.0,27.871648631380065
1400.0,-825.0,27.19229750414182
1425.0,-825.0,26.53855883230255
1450.0,-825.0,25.91041951150361
1475.0,-825.0,25.30783882999465
1500.0,-825.0,24.730746356899566
1525.0,-825.0,24.17903986312296
1550.0,-825.0,23.652583503595835
1225.0,-800.0,32.514974201738376
1250.0,-800.0,31.65818108071011
1275.0,-800.0,30.827453759500003
1300.0,-800.0,30.02291757388005
1325.0,-800.0,29.24468330284043
1350.0,-800.0,28.492844921768114
1375.0,-800.0,27.767477221716558
1400.0,-800.0,27.068633144822755
1425.0,-800.0,26.396341145582838
1450.0,-800.0,25.7506025942855
1475.0,-800.0,25.131388956938487
1500.0,-800.0,24.53863928902865
1525.0,-800.0,23.97225755933714
1550.0,-800.0,23.43211059136207
1575.0,-800.0,22.918025868384877
1600.0,-800.0,22.42979014009249
1200.0,-775.0,33.48247771361913
1225.0,-775.0,32.5725228196672
1250.0,-775.0,31.689346031792436
1275.0,-775.0,30.833107890527046
1300.0,-775.0,30.003956759571462
1325.0,-775.0,29.202026408858387
1350.0,-775.0,28.427433554136687
1375.0,-775.0,27.680275015759523
1400.0,-775.0,26.96062483892764
1425.0,-775.0,26.26853124637087
1450.0,-775.0,25.604013482419507
1475.0,-775.0,24.96705859076699
1500.0,-775.0,24.35761823791504
1525.0,-775.0,23.775605752595602
1550.0,-775.0,23.22089314620612
1575.0,-775.0,22.69330862887937
1600.0,-775.0,22.192634570346513
1625.0,-775.0,22.01233060455223
1175.0,-750.0,34.56412234418877
1200.0,-750.0,33.597613947582985
1225.0,-750.0,32.65858322595689
1250.0,-750.0,31.747225950301253
1275.0,-750.0,30.86372843661414
1300.0,-750.0,30.00826519889873
1325.0,-750.0,29.180996414310894
1350.0,-750.0,28.382065038987665
1375.0,-750.0,27.611593741814005
1400.0,-750.0,26.869681653673638
1425.0,-750.0,26.15640069811701
1450.0,-750.0,25.47179208131364
1475.0,-750.0,24.815862433970707
1500.0,-750.0,24.18858008018081
1525.0,-750.0,23.589871237460493
1550.0,-750.0,23.019616565228162
1575.0,-750.0,22.477647883801378
1600.0,-750.0,21.96374544872019
1625.0,-750.0,21.861110576127142
1650.0,-750.0,22.579254407928026
1150.0,-725.0,35.77134162726624
1175.0,-725.0,34.74465072692974
1200.0,-725.0,33.74612214313415
1225.0,-725.0,32.7759861603611
1250.0,-725.0,31.834466630898998
1275.0,-725.0,30.921778826502244
1300.0,-725.0,30.038126969760025
1325.0,-725.0,29.18370136585115
1350.0,-725.0,28.358675273347025
1375.0,-725.0,27.563201522377526
1400.0,-725.0,26.797408739106068
1425.0,-725.0,26.06139733709174
1450.0,-725.0,25.355235278391948
1475.0,-725.0,24.678953565816858
1500.0,-725.0,24.03254186273899
1525.0,-725.0,23.41594390671255
1550.0,-725.0,22.829053184509362
1575.0,-725.0,22.271708818053987
1600.0,-725.0,21.74369202862175
1625.0,-725.0,21.729260503575503
1650.0,-725.0,22.471864480774872
1675.0,-725.0,23.24319797338605
1100.0,-700.0,38.23630237273114
1125.0,-700.0,37.116974603025156
1150.0,-700.0,36.026212922563666
1175.0,-700.0,34.96428205167915
1200.0,-700.0,33.931445343149356
1225.0,-700.0,32.92796300104964
1250.0,-700.0,31.954090167446083
1275.0,-700.0,31.01007460048193
1300.0,-700.0,30.096154008335645
1325.0,-700.0,29.212553039708176
1350.0,-700.0,28.359479825542135
1375.0,-700.0,27.53712223708159
1400.0,-700.0,26.745643623886455
1425.0,-700.0,25.98517826421217
1450.0,-700.0,25.255826464821254
1475.0,-700.0,24.557649414686143
1500.0,-700.0,23.890663787729043
1525.0,-700.0,23.254836411195903
1550.0,-700.0,22.65007878442687
1575.0,-700.0,22.076242136073535
1600.0,-700.0,21.533112680872964
1625.0,-700.0,21.61882383611056
1650.0,-700.0,22.38759411793039
1675.0,-700.0,23.186070907339598
1700.0,-700.0,24.014199580658275
1100.0,-675.0,38.615480261797096
1125.0,-675.0,37.45647327440985
1150.0,-675.0,36.326949248786526
1175.0,-675.0,35.227202505318026
1200.0,-675.0,34.157527675665285
1225.0,-675.0,33.11821799813636
1250.0,-675.0,32.10956330007042
1275.0,-675.0,31.13184762459256
1300.0,-675.0,30.185346422182125
1325.0,-675.0,29.270323308279817
1350.0,-675.0,28.38702644032162
1375.0,-675.0,27.535684155787017
1400.0,-675.0,26.71650052978921
1425.0,-675.0,25.929649953784935
1450.0,-675.0,25.175271747444558
1475.0,-675.0,24.453463992558984
1500.0,-675.0,23.764277296604224
1525.0,-675.0,23.107708277861438
1550.0,-675.0,22.48369303326512
1575.0,-675.0,21.892100878962072
1600.0,-675.0,21.332728300928686
1625.0,-675.0,21.53214198856052
1650.0,-675.0,22.328969676671132
1675.0,-675.0,23.156549595634754
1700.0,-675.0,24.014823154269823
1725.0,-675.0,24.90373186327776
1075.0,-650.0,40.28319708247681
1100.0,-650.0,39.051451025649136
1125.0,-650.0,37.849824486537834
1150.0,-650.0,36.67864032272763
1175.0,-650.0,35.538224897653805
1200.0,-650.0,34.42890706673941
1225.0,-650.0,33.3510162806294
1250.0,-650.0,32.30488073257235
1275.0,-650.0,31.29082485464885
1300.0,-650.0,30.309166504710205
1325.0,-650.0,29.360213394282624
1350.0,-650.0,28.444259282559976
1375.0,-650.0,27.56157934592649
1400.0,-650.0,26.71242502316885
1425.0,-650.0,25.8970181788664
1450.0,-650.0,25.115544750485093
1475.0,-650.0,24.36814781892748
1500.0,-650.0,23.654920092881095
1525.0,-650.0,22.97589629637185
1550.0,-650.0,22.331045127925332
1575.0,-650.0,21.72026154607823
1600.0,-650.0,21.143359187497246
1625.0,-650.0,21.471910748727602
1650.0,-650.0,22.29889961061135
1675.0,-650.0,23.157762662907373
1700.0,-650.0,24.048436854423787
1725.0,-650.0,24.970859345015725
1750.0,-650.0,25.924967428330007
1050.0,-625.0,42.13865926970956
1075.0,-625.0,40.82932078249317
1100.0,-625.0,39.55072473879685
1125.0,-625.0,38.30321944134798
1150.0,-625.0,37.08716009357393
1175.0,-625.0,35.902907860321925
1200.0,-625.0,34.750828675161195
1225.0,-625.0,33.63129172431571
1250.0,-625.0,32.54466740013371
1275.0,-625.0,31.491324975966542
1300.0,-625.0,30.47162965987323
1325.0,-625.0,29.485938928502893
1350.0,-625.0,28.53459848338378
1375.0,-625.0,27.617937243821462
1400.0,-625.0,26.736261752110146
1425.0,-625.0,25.889849635756153
1450.0,-625.0,25.07894248405499
1475.0,-625.0,24.303737734169037
1500.0,-625.0,23.564380125838127
1525.0,-625.0,22.860952440347248
1550.0,-625.0,22.193465952352607
1575.0,-625.0,21.561850790772993
1600.0,-625.0,20.96594652463462
1625.0,-625.0,21.441249625587833
1650.0,-625.0,22.300749306772996
1675.0,-625.0,23.19332994539557
1700.0,-625.0,24.118923607293596
1725.0,-625.0,25.077462503098356
1750.0,-625.0,26.06887902601308
1775.0,-625.0,27.093105827147358
1025.0,-600.0,44.20298416615979
1050.0,-600.0,42.81079140548889
1075.0,-600.0,41.44995308197278
1100.0,-600.0,40.12083988571331
1125.0,-600.0,38.82383228944801
1150.0,-600.0,37.55932030923422
1175.0,-600.0,36.327702457675045
1200.0,-600.0,35.12938493965543
1225.0,-600.0,33.964780118289724
1250.0,-600.0,32.83430482449457
1275.0,-600.0,31.738377787228384
1300.0,-600.0,30.677416986029314
1325.0,-600.0,29.65183578042343
1350.0,-600.0,28.662038735006668
1375.0,-600.0,27.708416336078518
1400.0,-600.0,26.791338878559
1425.0,-600.0,25.911149299718318
1450.0,-600.0,25.06815517743529
1475.0,-600.0,24.262619507963375
1500.0,-600.0,23.494750762521633
1525.0,-600.0,22.764691928490123
1550.0,-600.0,22.072509016360158
