x_m,y_m,worst_mec_radius_m
525.0,-850.0,64.19033098580717
475.0,-825.0,67.89079560588449
500.0,-825.0,66.40594721470447
525.0,-825.0,64.94505444527582
550.0,-825.0,63.50837883324909
425.0,-800.0,71.93253579269253
450.0,-800.0,70.35508369152559
475.0,-800.0,68.80158175302317
500.0,-800.0,67.27229235680872
525.0,-800.0,65.76748523217609
550.0,-800.0,64.28743752454307
575.0,-800.0,62.83243379011322
600.0,-800.0,61.40276605599142
400.0,-775.0,74.66795096614725
425.0,-775.0,73.01820160271643
450.0,-775.0,71.39264412366279
475.0,-775.0,69.7915468794847
500.0,-775.0,68.21518628956628
525.0,-775.0,66.66384710965937
550.0,-775.0,65.13782254774894
575.0,-775.0,63.63741429556667
600.0,-775.0,62.162932763449575
625.0,-775.0,60.714696864123326
375.0,-750.0,77.62312702482292
400.0,-750.0,75.89746141037757
425.0,-750.0,74.19622285204544
450.0,-750.0,72.51968440549072
475.0,-750.0,70.86812790027673
500.0,-750.0,69.24184418204005
525.0,-750.0,67.64113346322885
550.0,-750.0,66.06630552165018
575.0,-750.0,64.51767978759689
600.0,-750.0,62.99558564829957
625.0,-750.0,61.500362355666695
650.0,-750.0,60.03235928031923
350.0,-725.0,80.81757882890565
375.0,-725.0,79.01212642751015
400.0,-725.0,77.23133108834274
425.0,-725.0,75.47546951332588
450.0,-725.0,73.74482766554317
475.0,-725.0,72.03970119672468
500.0,-725.0,70.36039572978359
525.0,-725.0,68.70722735739575
550.0,-725.0,67.08052282875938
575.0,-725.0,65.48061986419341
600.0,-725.0,63.907867369997604
625.0,-725.0,62.362625756787004
650.0,-725.0,60.84526698898036
675.0,-725.0,59.35617468543902
325.0,-700.0,84.27309776345851
350.0,-700.0,82.38370622283288
375.0,-700.0,80.51919804215217
400.0,-700.0,78.67985258765802
425.0,-700.0,76.86595878901055
450.0,-700.0,75.07781584880485
475.0,-700.0,73.31573343256414
500.0,-700.0,71.5800323674241
525.0,-700.0,69.87104490610025
550.0,-700.0,68.18911517706431
575.0,-700.0,66.53459963558795
600.0,-700.0,64.90786739348852
625.0,-700.0,63.30930055938087
650.0,-700.0,61.73929454480832
675.0,-700.0,60.19825825654687
700.0,-700.0,58.686614269637644
300.0,-675.0,88.01410740492356
325.0,-675.0,86.036307929688
350.0,-675.0,84.08361586113892
375.0,-675.0,82.15631212838868
400.0,-675.0,80.25468776182146
425.0,-675.0,78.37904434406613
450.0,-675.0,76.52969432439134
475.0,-675.0,74.70696188319465
500.0,-675.0,72.91118308110723
525.0,-675.0,71.14270673014903
550.0,-675.0,69.40189472259478
575.0,-675.0,67.68912270827917
600.0,-675.0,66.00478038710907
625.0,-675.0,64.34927231749981
650.0,-675.0,62.723017987810955
675.0,-675.0,61.12645248943873
700.0,-675.0,59.56002668839023
725.0,-675.0,58.02420751908912
275.0,-650.0,92.06808727585835
